"",BBFN1.M.DE.N.1.L.HK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:36,
1975-12,0.210,
1976-01,0.215,
1976-02,0.213,
1976-03,0.317,
1976-04,0.400,
1976-05,0.351,
1976-06,0.363,
1976-07,0.253,
1976-08,0.342,
1976-09,0.251,
1976-10,0.316,
1976-11,0.243,
1976-12,0.183,
1977-01,0.170,
1977-02,0.209,
1977-03,0.223,
1977-04,0.222,
1977-05,0.309,
1977-06,0.263,
1977-07,0.321,
1977-08,0.222,
1977-09,0.217,
1977-10,0.256,
1977-11,0.304,
1977-12,0.263,
1978-01,0.348,
1978-02,0.349,
1978-03,0.252,
1978-04,0.136,
1978-05,0.095,
1978-06,0.088,
1978-07,0.066,
1978-08,0.063,
1978-09,0.029,
1978-10,0.021,
1978-11,0.020,
1978-12,0.019,
1979-01,0.020,
1979-02,0.019,
1979-03,0.026,
1979-04,0.024,
1979-05,0.020,
1979-06,0.015,
1979-07,0.008,
1979-08,0.009,
1979-09,0.011,
1979-10,0.001,
1979-11,0.003,
1979-12,0.003,
1980-01,0.003,
1980-02,0.001,
1980-03,0.003,
1980-04,0.003,
1980-05,0.003,
1980-06,0.003,
1980-07,0.010,
1980-08,-,Nothing exists
1980-09,-,Nothing exists
1980-10,0.001,
1980-11,0.004,
1980-12,0.004,
1981-01,0.001,
1981-02,-,Nothing exists
1981-03,-,Nothing exists
1981-04,-,Nothing exists
1981-05,0.001,
1981-06,0.032,
1981-07,0.030,
1981-08,0.028,
1981-09,0.027,
1981-10,0.014,
1981-11,0.015,
1981-12,0.035,
1982-01,0.022,
1982-02,0.025,
1982-03,0.025,
1982-04,0.024,
1982-05,0.025,
1982-06,0.025,
1982-07,0.025,
1982-08,0.022,
1982-09,0.011,
1982-10,0.011,
1982-11,0.013,
1982-12,0.013,
1983-01,0.013,
1983-02,0.013,
1983-03,0.013,
1983-04,0.038,
1983-05,0.026,
1983-06,0.041,
1983-07,0.043,
1983-08,0.041,
1983-09,0.041,
1983-10,0.078,
1983-11,0.083,
1983-12,0.069,
1984-01,0.069,
1984-02,0.077,
1984-03,0.064,
1984-04,0.065,
1984-05,0.067,
1984-06,0.077,
1984-07,0.083,
1984-08,0.174,
1984-09,0.178,
1984-10,0.161,
1984-11,0.169,
1984-12,0.179,
1985-01,0.195,
1985-02,0.188,
1985-03,0.183,
1985-04,0.160,
1985-05,0.155,
1985-06,0.169,
1985-07,0.101,
1985-08,0.161,
1985-09,0.142,
1985-10,0.166,
1985-11,0.165,
1985-12,0.175,
1986-01,0.150,
1986-02,0.168,
1986-03,0.154,
1986-04,0.131,
1986-05,0.155,
1986-06,0.125,
1986-07,0.132,
1986-08,0.126,
1986-09,0.108,
1986-10,0.125,
1986-11,0.087,
1986-12,0.078,
1987-01,0.075,
1987-02,0.111,
1987-03,0.072,
1987-04,0.087,
1987-05,0.075,
1987-06,0.112,
1987-07,0.083,
1987-08,0.108,
1987-09,0.122,
1987-10,0.144,
1987-11,0.162,
1987-12,0.163,
1988-01,0.156,
1988-02,0.172,
1988-03,0.157,
1988-04,0.157,
1988-05,0.141,
1988-06,0.145,
1988-07,0.165,
1988-08,0.165,
1988-09,0.159,
1988-10,0.164,
1988-11,0.165,
1988-12,0.228,
1989-01,0.232,
1989-02,0.228,
1989-03,0.221,
1989-04,0.200,
1989-05,0.188,
1989-06,0.173,
1989-07,0.179,
1989-08,0.183,
1989-09,0.183,
1989-10,0.188,
1989-11,0.209,
1989-12,0.207,
1990-01,0.226,
1990-02,0.228,
1990-03,0.235,
1990-04,0.251,
1990-05,0.246,
1990-06,0.252,
1990-07,0.277,
1990-08,0.283,
1990-09,0.266,
1990-10,0.269,
1990-11,0.265,
1990-12,0.250,
1991-01,0.225,
1991-02,0.209,
1991-03,0.223,
1991-04,0.245,
1991-05,0.282,
1991-06,0.289,
1991-07,0.280,
1991-08,0.287,
1991-09,0.291,
1991-10,0.291,
1991-11,0.297,
1991-12,0.294,
1992-01,0.298,
1992-02,0.314,
1992-03,0.322,
1992-04,0.349,
1992-05,0.364,
1992-06,0.357,
1992-07,0.414,
1992-08,0.410,
1992-09,0.432,
1992-10,0.460,
1992-11,0.466,
1992-12,0.477,
1993-01,0.435,
1993-02,0.488,
1993-03,0.537,
1993-04,0.565,
1993-05,0.676,
1993-06,0.718,
1993-07,0.708,
1993-08,0.766,
1993-09,0.772,
1993-10,0.827,
1993-11,0.780,
1993-12,0.799,
1994-01,0.736,
1994-02,0.738,
1994-03,0.747,
1994-04,0.757,
1994-05,0.788,
1994-06,0.745,
1994-07,0.748,
1994-08,0.722,
1994-09,0.754,
1994-10,0.697,
1994-11,0.697,
1994-12,0.667,
1995-01,0.677,
1995-02,0.681,
1995-03,0.683,
1995-04,0.717,
1995-05,0.749,
1995-06,0.751,
1995-07,0.735,
1995-08,0.780,
1995-09,0.756,
1995-10,0.783,
1995-11,0.795,
1995-12,0.786,
1996-01,0.796,
1996-02,0.844,
1996-03,0.876,
1996-04,0.885,
1996-05,0.842,
1996-06,0.826,
1996-07,0.845,
1996-08,0.902,
1996-09,0.929,
1996-10,0.953,
1996-11,0.951,
1996-12,1.009,
1997-01,1.039,
1997-02,1.059,
1997-03,1.056,
1997-04,1.074,
1997-05,1.158,
1997-06,1.170,
1997-07,1.158,
1997-08,1.181,
1997-09,1.191,
1997-10,1.184,
1997-11,1.138,
1997-12,1.246,
1998-01,1.247,
1998-02,1.281,
1998-03,1.278,
1998-04,1.309,
1998-05,1.324,
1998-06,1.475,
1998-07,1.471,
1998-08,1.433,
1998-09,1.421,
1998-10,1.481,
1998-11,1.479,
1998-12,1.436,
1999-01,1.370,
1999-02,1.285,
1999-03,1.284,
1999-04,1.280,
1999-05,1.280,
1999-06,1.278,
1999-07,1.272,
1999-08,1.267,
1999-09,1.269,
1999-10,1.272,
1999-11,1.304,
1999-12,1.337,
2000-01,1.343,
2000-02,1.381,
2000-03,1.385,
2000-04,1.405,
2000-05,1.450,
2000-06,1.412,
2000-07,1.439,
2000-08,1.469,
2000-09,1.471,
2000-10,1.468,
2000-11,1.372,
2000-12,1.426,
2001-01,1.374,
2001-02,1.227,
2001-03,0.789,
2001-04,0.571,
2001-05,0.333,
2001-06,0.335,
2001-07,0.156,
2001-08,0.161,
2001-09,0.153,
2001-10,0.153,
2001-11,0.153,
2001-12,0.153,
2002-01,0.153,
2002-02,0.153,
2002-03,0.149,
2002-04,0.149,
2002-05,0.149,
2002-06,0.154,
2002-07,0.156,
2002-08,0.160,
2002-09,0.158,
2002-10,0.124,
2002-11,0.123,
2002-12,0.122,
2003-01,0.123,
2003-02,0.123,
2003-03,0.123,
2003-04,0.122,
2003-05,0.110,
2003-06,0.108,
2003-07,0.108,
2003-08,0.108,
2003-09,0.110,
2003-10,0.109,
2003-11,0.110,
2003-12,0.104,
2004-01,0.104,
2004-02,0.109,
2004-03,0.110,
2004-04,0.109,
2004-05,0.109,
2004-06,0.107,
2004-07,0.105,
2004-08,0.108,
2004-09,0.110,
2004-10,0.111,
2004-11,0.107,
2004-12,0.107,
2005-01,0.109,
2005-02,0.109,
2005-03,0.109,
2005-04,0.108,
2005-05,0.106,
2005-06,0.101,
2005-07,0.101,
2005-08,0.105,
2005-09,0.107,
2005-10,0.106,
2005-11,0.105,
2005-12,.,No value available
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,0.000,
2006-07,.,No value available
2006-08,0.000,
2006-09,.,No value available
2006-10,0.009,
2006-11,.,No value available
2006-12,.,No value available
2007-01,.,No value available
2007-02,0.011,
2007-03,0.008,
2007-04,0.011,
2007-05,0.003,
2007-06,0.008,
2007-07,0.007,
2007-08,0.006,
2007-09,.,No value available
2007-10,0.005,
2007-11,0.010,
2007-12,0.005,
2008-01,0.008,
2008-02,0.011,
2008-03,0.011,
2008-04,0.010,
2008-05,0.000,
2008-06,0.007,
2008-07,0.000,
2008-08,0.006,
2008-09,0.006,
2008-10,0.001,
2008-11,0.008,
2008-12,0.006,
2009-01,0.007,
2009-02,0.009,
2009-03,0.006,
2009-04,.,No value available
2009-05,0.000,
2009-06,.,No value available
2009-07,0.007,
2009-08,0.013,
