"",BBFN1.M.DE.N.1.L.IL.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IL.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Israel,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:31,
1994-12,0.600,
1995-01,0.600,
1995-02,0.630,
1995-03,0.615,
1995-04,0.614,
1995-05,0.634,
1995-06,0.643,
1995-07,0.683,
1995-08,0.689,
1995-09,0.689,
1995-10,0.678,
1995-11,0.683,
1995-12,0.656,
1996-01,0.667,
1996-02,0.732,
1996-03,0.742,
1996-04,0.740,
1996-05,0.739,
1996-06,0.717,
1996-07,0.713,
1996-08,0.703,
1996-09,0.722,
1996-10,0.730,
1996-11,0.735,
1996-12,0.712,
1997-01,0.710,
1997-02,0.744,
1997-03,0.729,
1997-04,0.700,
1997-05,0.708,
1997-06,0.707,
1997-07,0.701,
1997-08,0.719,
1997-09,0.723,
1997-10,0.710,
1997-11,0.724,
1997-12,0.726,
1998-01,0.709,
1998-02,0.749,
1998-03,0.770,
1998-04,0.782,
1998-05,0.797,
1998-06,0.807,
1998-07,0.780,
1998-08,0.768,
1998-09,0.778,
1998-10,0.788,
1998-11,0.800,
1998-12,0.810,
1999-01,0.803,
1999-02,0.802,
1999-03,0.562,
1999-04,0.578,
1999-05,0.593,
1999-06,0.472,
1999-07,0.474,
1999-08,0.460,
1999-09,0.442,
1999-10,0.453,
1999-11,0.472,
1999-12,0.484,
2000-01,0.498,
2000-02,0.488,
2000-03,0.508,
2000-04,0.511,
2000-05,0.513,
2000-06,0.567,
2000-07,0.568,
2000-08,0.412,
2000-09,0.436,
2000-10,0.498,
2000-11,0.505,
2000-12,0.546,
2001-01,0.514,
2001-02,0.513,
2001-03,0.528,
2001-04,0.509,
2001-05,0.510,
2001-06,0.531,
2001-07,0.521,
2001-08,0.520,
2001-09,0.513,
2001-10,0.468,
2001-11,0.485,
2001-12,0.426,
2002-01,0.446,
2002-02,0.460,
2002-03,0.457,
2002-04,0.381,
2002-05,0.425,
2002-06,0.476,
2002-07,0.523,
2002-08,0.518,
2002-09,0.542,
2002-10,0.540,
2002-11,0.551,
2002-12,0.581,
2003-01,0.570,
2003-02,0.550,
2003-03,0.590,
2003-04,0.578,
2003-05,0.655,
2003-06,0.717,
2003-07,0.752,
2003-08,0.772,
2003-09,0.789,
2003-10,0.793,
2003-11,0.804,
2003-12,0.807,
2004-01,0.800,
2004-02,0.812,
2004-03,0.796,
2004-04,0.800,
2004-05,0.824,
2004-06,0.897,
2004-07,0.937,
2004-08,0.930,
2004-09,0.918,
2004-10,0.909,
2004-11,0.882,
2004-12,0.923,
2005-01,0.960,
2005-02,0.863,
2005-03,0.930,
2005-04,0.897,
2005-05,0.797,
2005-06,0.787,
2005-07,0.719,
2005-08,0.705,
2005-09,0.762,
2005-10,0.780,
2005-11,0.851,
2005-12,0.796,
2006-01,0.766,
2006-02,0.776,
2006-03,0.786,
2006-04,0.748,
2006-05,0.522,
2006-06,0.508,
2006-07,0.543,
2006-08,0.565,
2006-09,0.547,
2006-10,0.507,
2006-11,0.532,
2006-12,0.515,
2007-01,0.477,
2007-02,0.501,
2007-03,0.498,
2007-04,0.480,
2007-05,0.482,
2007-06,0.493,
2007-07,0.631,
2007-08,0.651,
2007-09,0.589,
2007-10,0.612,
2007-11,0.630,
2007-12,0.659,
2008-01,0.534,
2008-02,0.503,
2008-03,0.503,
2008-04,0.462,
2008-05,0.485,
2008-06,0.509,
2008-07,0.528,
2008-08,0.548,
2008-09,0.558,
2008-10,0.598,
2008-11,0.759,
2008-12,0.643,
2009-01,0.646,
2009-02,0.651,
2009-03,0.650,
2009-04,0.656,
2009-05,0.626,
2009-06,0.664,
2009-07,0.689,
2009-08,0.666,
2009-09,0.765,
2009-10,0.748,
2009-11,0.988,
2009-12,0.777,
2010-01,0.952,
2010-02,0.850,
2010-03,0.842,
2010-04,0.906,
2010-05,0.934,
2010-06,0.963,
2010-07,0.944,
2010-08,0.964,
2010-09,0.978,
2010-10,0.981,
2010-11,1.033,
2010-12,1.160,
2011-01,1.066,
2011-02,1.075,
2011-03,0.953,
2011-04,0.877,
2011-05,0.875,
2011-06,0.938,
2011-07,0.986,
2011-08,0.949,
2011-09,1.151,
2011-10,1.061,
2011-11,1.110,
2011-12,1.086,
2012-01,1.099,
2012-02,1.065,
2012-03,1.089,
2012-04,1.105,
2012-05,1.130,
2012-06,1.126,
2012-07,1.167,
2012-08,1.127,
2012-09,1.163,
2012-10,1.205,
2012-11,1.168,
2012-12,1.209,
2013-01,1.264,
2013-02,1.205,
2013-03,1.253,
2013-04,1.310,
2013-05,1.323,
2013-06,1.348,
2013-07,1.374,
2013-08,1.159,
2013-09,0.926,
2013-10,1.536,
2013-11,1.217,
2013-12,1.158,
2014-01,1.165,
2014-02,1.164,
2014-03,1.158,
2014-04,1.173,
2014-05,1.178,
2014-06,1.181,
2014-07,1.219,
2014-08,1.185,
2014-09,1.154,
2014-10,1.094,
2014-11,1.096,
2014-12,0.974,
