"",BBFN1.M.DE.N.1.L.VG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / British Virgin Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:45,
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,0.636,
1995-01,0.622,
1995-02,0.620,
1995-03,0.584,
1995-04,0.532,
1995-05,0.531,
1995-06,0.536,
1995-07,0.525,
1995-08,0.529,
1995-09,0.552,
1995-10,1.056,
1995-11,1.078,
1995-12,1.088,
1996-01,1.209,
1996-02,1.205,
1996-03,1.208,
1996-04,1.265,
1996-05,1.262,
1996-06,1.262,
1996-07,1.258,
1996-08,1.261,
1996-09,1.260,
1996-10,1.240,
1996-11,1.529,
1996-12,1.340,
1997-01,1.344,
1997-02,1.338,
1997-03,1.355,
1997-04,1.476,
1997-05,1.482,
1997-06,1.507,
1997-07,1.510,
1997-08,1.495,
1997-09,1.510,
1997-10,1.501,
1997-11,1.537,
1997-12,1.536,
1998-01,1.569,
1998-02,2.075,
1998-03,2.082,
1998-04,2.060,
1998-05,2.085,
1998-06,2.065,
1998-07,2.057,
1998-08,2.087,
1998-09,2.065,
1998-10,2.067,
1998-11,2.098,
1998-12,1.752,
1999-01,1.752,
1999-02,1.741,
1999-03,1.756,
1999-04,1.569,
1999-05,1.567,
1999-06,1.572,
1999-07,1.568,
1999-08,1.576,
1999-09,1.549,
1999-10,1.553,
1999-11,1.643,
1999-12,1.594,
2000-01,1.584,
2000-02,1.674,
2000-03,1.564,
2000-04,1.564,
2000-05,1.560,
2000-06,2.040,
2000-07,2.017,
2000-08,2.003,
2000-09,2.006,
2000-10,2.019,
2000-11,2.039,
2000-12,1.862,
2001-01,1.716,
2001-02,1.632,
2001-03,1.640,
2001-04,1.642,
2001-05,1.631,
2001-06,1.649,
2001-07,1.646,
2001-08,1.646,
2001-09,1.600,
2001-10,1.598,
2001-11,1.595,
2001-12,1.483,
2002-01,1.441,
2002-02,1.445,
2002-03,1.471,
2002-04,1.468,
2002-05,1.489,
2002-06,1.513,
2002-07,1.507,
2002-08,1.524,
2002-09,1.522,
2002-10,1.581,
2002-11,1.606,
2002-12,1.621,
2003-01,0.871,
2003-02,0.920,
2003-03,0.933,
2003-04,0.924,
2003-05,0.906,
2003-06,0.891,
2003-07,0.893,
2003-08,0.901,
2003-09,0.854,
2003-10,0.861,
2003-11,0.834,
2003-12,0.707,
2004-01,0.701,
2004-02,0.698,
2004-03,0.701,
2004-04,0.704,
2004-05,0.633,
2004-06,0.657,
2004-07,0.621,
2004-08,0.612,
2004-09,0.605,
2004-10,0.638,
2004-11,0.653,
2004-12,0.694,
2005-01,0.271,
2005-02,0.314,
2005-03,0.333,
2005-04,0.393,
2005-05,0.399,
2005-06,0.378,
2005-07,0.293,
2005-08,0.295,
2005-09,0.325,
2005-10,0.313,
2005-11,0.215,
2005-12,0.268,
2006-01,0.266,
2006-02,0.289,
2006-03,0.306,
2006-04,0.384,
2006-05,0.452,
2006-06,0.457,
2006-07,0.472,
2006-08,0.538,
2006-09,0.456,
2006-10,0.496,
2006-11,0.527,
2006-12,0.620,
2007-01,0.634,
2007-02,0.660,
2007-03,0.644,
2007-04,0.627,
2007-05,0.642,
2007-06,0.686,
2007-07,0.748,
2007-08,0.776,
2007-09,0.793,
2007-10,0.772,
2007-11,0.780,
2007-12,0.800,
2008-01,0.827,
2008-02,0.869,
2008-03,0.869,
2008-04,0.870,
2008-05,0.880,
2008-06,0.815,
2008-07,0.807,
2008-08,0.869,
2008-09,0.859,
2008-10,0.911,
2008-11,0.927,
2008-12,1.001,
2009-01,1.026,
2009-02,1.024,
2009-03,1.031,
2009-04,1.045,
2009-05,1.028,
2009-06,1.032,
2009-07,1.045,
2009-08,1.051,
2009-09,1.044,
2009-10,1.040,
2009-11,1.034,
2009-12,1.213,
2010-01,1.213,
2010-02,1.223,
2010-03,1.262,
2010-04,1.254,
2010-05,1.209,
2010-06,0.958,
2010-07,0.918,
2010-08,1.479,
2010-09,1.497,
2010-10,1.289,
2010-11,1.297,
2010-12,1.457,
2011-01,1.460,
2011-02,1.459,
2011-03,1.519,
2011-04,1.569,
2011-05,1.561,
2011-06,1.454,
2011-07,1.451,
2011-08,1.523,
2011-09,1.586,
2011-10,1.581,
2011-11,1.604,
2011-12,1.659,
2012-01,1.644,
2012-02,1.663,
2012-03,1.918,
2012-04,1.966,
2012-05,2.016,
2012-06,1.991,
2012-07,2.026,
2012-08,2.207,
2012-09,1.866,
2012-10,1.877,
2012-11,1.933,
2012-12,1.954,
2013-01,1.968,
2013-02,1.606,
2013-03,1.627,
2013-04,1.625,
2013-05,1.589,
2013-06,1.494,
2013-07,1.537,
2013-08,1.521,
2013-09,1.605,
2013-10,1.559,
2013-11,1.551,
2013-12,2.057,
2014-01,2.055,
2014-02,2.084,
2014-03,2.088,
2014-04,2.127,
2014-05,2.253,
2014-06,2.242,
2014-07,2.204,
2014-08,2.175,
2014-09,2.122,
2014-10,1.932,
2014-11,1.877,
2014-12,1.854,
