"",BBK01.BU1250,BBK01.BU1250_FLAGS
"",Debt of the Debt Processing Fund - total debt,
unit,DM (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:36:23,
1984-03,-,Nothing exists
1984-04,.,No value available
1984-05,.,No value available
1984-06,-,Nothing exists
1984-07,.,No value available
1984-08,.,No value available
1984-09,-,Nothing exists
1984-10,.,No value available
1984-11,.,No value available
1984-12,-,Nothing exists
1985-01,.,No value available
1985-02,.,No value available
1985-03,-,Nothing exists
1985-04,.,No value available
1985-05,.,No value available
1985-06,-,Nothing exists
1985-07,.,No value available
1985-08,.,No value available
1985-09,-,Nothing exists
1985-10,.,No value available
1985-11,.,No value available
1985-12,-,Nothing exists
1986-01,.,No value available
1986-02,.,No value available
1986-03,-,Nothing exists
1986-04,.,No value available
1986-05,.,No value available
1986-06,-,Nothing exists
1986-07,.,No value available
1986-08,.,No value available
1986-09,-,Nothing exists
1986-10,.,No value available
1986-11,.,No value available
1986-12,-,Nothing exists
1987-01,.,No value available
1987-02,.,No value available
1987-03,-,Nothing exists
1987-04,.,No value available
1987-05,.,No value available
1987-06,-,Nothing exists
1987-07,.,No value available
1987-08,.,No value available
1987-09,-,Nothing exists
1987-10,.,No value available
1987-11,.,No value available
1987-12,-,Nothing exists
1988-01,.,No value available
1988-02,.,No value available
1988-03,-,Nothing exists
1988-04,.,No value available
1988-05,.,No value available
1988-06,-,Nothing exists
1988-07,.,No value available
1988-08,.,No value available
1988-09,-,Nothing exists
1988-10,.,No value available
1988-11,.,No value available
1988-12,-,Nothing exists
1989-01,.,No value available
1989-02,.,No value available
1989-03,-,Nothing exists
1989-04,.,No value available
1989-05,.,No value available
1989-06,-,Nothing exists
1989-07,.,No value available
1989-08,.,No value available
1989-09,-,Nothing exists
1989-10,.,No value available
1989-11,.,No value available
1989-12,-,Nothing exists
1990-01,.,No value available
1990-02,.,No value available
1990-03,-,Nothing exists
1990-04,.,No value available
1990-05,.,No value available
1990-06,-,Nothing exists
1990-07,.,No value available
1990-08,3300.4,
1990-09,5983.7,
1990-10,7628.1,
1990-11,7628.1,
1990-12,14128.8,
1991-01,14456.1,
1991-02,14773.1,
1991-03,14752.7,
1991-04,14752.7,
1991-05,14752.7,
1991-06,14719.8,
1991-07,14770.9,
1991-08,14735.1,
1991-09,13379.9,
1991-10,13379.9,
1991-11,13928.8,
1991-12,14046.4,
1992-01,14321.7,
1992-02,13879.4,
1992-03,13821.3,
1992-04,14075.6,
1992-05,14075.6,
1992-06,14076.8,
1992-07,13936.5,
1992-08,13926.3,
1992-09,13926.3,
1992-10,13904.5,
1992-11,13904.5,
1992-12,46909.4,
1993-01,46803.4,
1993-02,46914.7,
1993-03,46965.8,
1993-04,46214.2,
1993-05,46993.3,
1993-06,46704.6,
1993-07,47545.3,
1993-08,47582.9,
1993-09,48009.3,
1993-10,49110.5,
1993-11,50236.6,
1993-12,51757.9,
1994-01,51790.6,
1994-02,51732.2,
1994-03,51853.7,
1994-04,51444.7,
1994-05,51380.7,
1994-06,51097.0,
1994-07,50087.4,
1994-08,50836.2,
1994-09,50366.2,
1994-10,50420.4,
1994-11,50569.2,
1994-12,52370.7,Provisional value
1995-01,.,No value available
1995-02,.,No value available
1995-03,-,Nothing exists
1995-04,.,No value available
1995-05,.,No value available
1995-06,-,Nothing exists
1995-07,.,No value available
1995-08,.,No value available
1995-09,-,Nothing exists
1995-10,.,No value available
1995-11,.,No value available
1995-12,-,Nothing exists
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,.,No value available
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,-,Nothing exists
1997-01,.,No value available
1997-02,.,No value available
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,.,No value available
1997-09,.,No value available
1997-10,.,No value available
1997-11,.,No value available
1997-12,-,Nothing exists
1998-01,.,No value available
1998-02,.,No value available
1998-03,.,No value available
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,.,No value available
1998-10,.,No value available
1998-11,.,No value available
1998-12,-,Nothing exists
1999-01,.,No value available
1999-02,.,No value available
1999-03,.,No value available
1999-04,.,No value available
1999-05,.,No value available
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,.,No value available
1999-10,.,No value available
1999-11,.,No value available
1999-12,-,Nothing exists
