"",BBK01.CEB010,BBK01.CEB010_FLAGS
"",Liabilities debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:20,
1991-01,2017.5,
1991-04,2075.4,
1991-07,2098.3,
1991-10,2095.2,
1992-01,2158.8,
1992-04,2176.9,
1992-07,2110.4,
1992-10,2106.0,
1993-01,2177.6,
1993-04,2209.6,
1993-07,2277.5,
1993-10,2403.0,
1994-01,2422.8,
1994-04,2417.2,
1994-07,2434.6,
1994-10,2501.0,
1995-01,2397.2,
1995-04,2465.3,
1995-07,2503.4,
1995-10,2550.4,
1996-01,2619.6,
1996-04,2661.0,
1996-07,2685.7,
1996-10,2772.5,
1997-01,2911.1,
1997-04,2995.1,
1997-07,3040.9,
1997-10,3052.2,
1998-01,3312.6,
1998-04,3489.5,
1998-07,3237.2,
1998-10,3393.4,
1999-01,3432.6,
1999-04,3411.9,
1999-07,3302.1,
1999-10,3925.3,
2000-01,3973.4,
2000-04,4012.4,
2000-07,3938.3,
2000-10,3969.8,
2001-01,3876.6,
2001-04,3868.8,
2001-07,3761.2,
2001-10,3997.9,
2002-01,4061.7,
2002-04,3936.0,
2002-07,3543.4,
2002-10,3538.4,
2003-01,3484.2,
2003-04,3612.4,
2003-07,3619.5,
2003-10,3766.5,
2004-01,3777.6,
2004-04,3788.1,
2004-07,3748.7,
2004-10,3818.1,
2005-01,3829.0,
2005-04,3891.3,
2005-07,3954.9,
2005-10,3991.9,
2006-01,4173.7,
2006-04,4144.5,
2006-07,4180.5,
2006-10,4324.4,
2007-01,4451.3,
2007-04,4620.3,
2007-07,4668.7,
2007-10,4757.7,
2008-01,4539.3,
2008-04,4520.1,
2008-07,4440.1,
2008-10,4299.0,
2009-01,4202.7,
2009-04,4254.4,
2009-07,4319.3,
2009-10,4339.2,
2010-01,4387.4,
2010-04,4406.9,
2010-07,4444.7,
2010-10,4581.6,
2011-01,4558.2,
2011-04,4616.6,
2011-07,4331.8,
2011-10,4444.3,
2012-01,4626.6,
2012-04,4549.6,
2012-07,4714.2,
2012-10,4802.0,
2013-01,4905.8,
2013-04,4846.0,
2013-07,4969.9,
2013-10,5146.6,
2014-01,5153.2,
