"",BBK01.CEB41Q,BBK01.CEB41Q_FLAGS
"",Loans  (consolidated) debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:47,
1991-01,634.1,
1991-04,658.0,
1991-07,683.9,
1991-10,704.4,
1992-01,715.3,
1992-04,733.9,
1992-07,743.9,
1992-10,737.7,
1993-01,744.8,
1993-04,754.7,
1993-07,766.4,
1993-10,772.2,
1994-01,753.1,
1994-04,761.6,
1994-07,769.2,
1994-10,758.3,
1995-01,782.5,
1995-04,802.8,
1995-07,809.2,
1995-10,810.0,
1996-01,822.7,
1996-04,837.8,
1996-07,844.9,
1996-10,853.1,
1997-01,864.4,
1997-04,870.5,
1997-07,877.9,
1997-10,892.9,
1998-01,903.7,
1998-04,909.7,
1998-07,924.7,
1998-10,946.4,
1999-01,887.5,
1999-04,904.9,
1999-07,932.9,
1999-10,983.8,
2000-01,974.9,
2000-04,997.8,
2000-07,1031.2,
2000-10,1055.3,
2001-01,1063.2,
2001-04,1082.0,
2001-07,1088.3,
2001-10,1105.6,
2002-01,1098.0,
2002-04,1105.7,
2002-07,1108.2,
2002-10,1103.6,
2003-01,1094.6,
2003-04,1094.8,
2003-07,1078.7,
2003-10,1079.2,
2004-01,1069.3,
2004-04,1064.8,
2004-07,1043.5,
2004-10,1044.3,
2005-01,1044.6,
2005-04,1040.8,
2005-07,1030.8,
2005-10,1029.5,
2006-01,1038.9,
2006-04,1056.1,
2006-07,1068.1,
2006-10,1057.4,
2007-01,1081.6,
2007-04,1094.5,
2007-07,1103.2,
2007-10,1116.2,
2008-01,1106.5,
2008-04,1129.6,
2008-07,1141.6,
2008-10,1148.7,
2009-01,1161.4,
2009-04,1155.3,
2009-07,1131.9,
2009-10,1123.5,
2010-01,1124.6,
2010-04,1119.8,
2010-07,1118.7,
2010-10,1103.2,
2011-01,1087.2,
2011-04,1107.7,
2011-07,1121.8,
2011-10,1144.2,
2012-01,1138.3,
2012-04,1145.6,
2012-07,1160.3,
2012-10,1151.0,
2013-01,1170.2,
2013-04,1191.6,
2013-07,1182.3,
2013-10,1197.1,
2014-01,1195.2,
