"",BBK01.CEBS3Q,BBK01.CEBS3Q_FLAGS
"",Savings certificates (consolidated) debtor: Monetary financial institutions                    creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:02,
1991-01,104.5,
1991-04,105.4,
1991-07,104.8,
1991-10,107.7,
1992-01,109.3,
1992-04,109.3,
1992-07,109.2,
1992-10,111.6,
1993-01,110.6,
1993-04,109.0,
1993-07,107.2,
1993-10,104.6,
1994-01,98.7,
1994-04,97.0,
1994-07,96.4,
1994-10,101.4,
1995-01,110.1,
1995-04,111.8,
1995-07,112.1,
1995-10,113.4,
1996-01,110.9,
1996-04,110.8,
1996-07,112.0,
1996-10,114.9,
1997-01,115.4,
1997-04,116.6,
1997-07,116.9,
1997-10,120.0,
1998-01,122.5,
1998-04,123.1,
1998-07,122.3,
1998-10,120.0,
1999-01,114.3,
1999-04,112.2,
1999-07,110.6,
1999-10,111.1,
2000-01,108.5,
2000-04,108.5,
2000-07,108.7,
2000-10,110.4,
2001-01,111.0,
2001-04,110.9,
2001-07,110.7,
2001-10,107.7,
2002-01,106.7,
2002-04,107.7,
2002-07,107.5,
2002-10,106.7,
2003-01,104.8,
2003-04,103.0,
2003-07,101.3,
2003-10,102.1,
2004-01,103.1,
2004-04,102.4,
2004-07,101.9,
2004-10,102.6,
2005-01,101.8,
2005-04,101.4,
2005-07,99.1,
2005-10,98.4,
2006-01,98.8,
2006-04,99.8,
2006-07,101.9,
2006-10,104.9,
2007-01,110.1,
2007-04,114.7,
2007-07,120.4,
2007-10,127.4,
2008-01,131.7,
2008-04,137.2,
2008-07,141.4,
2008-10,146.9,
2009-01,141.1,
2009-04,129.8,
2009-07,121.2,
2009-10,116.1,
2010-01,114.3,
2010-04,114.0,
2010-07,112.4,
2010-10,111.4,
2011-01,112.6,
2011-04,116.9,
2011-07,119.0,
2011-10,121.2,
2012-01,119.2,
2012-04,117.7,
2012-07,114.2,
2012-10,109.6,
2013-01,102.7,
2013-04,96.8,
2013-07,93.2,
2013-10,91.5,
2014-01,86.9,
