"",BBK01.CEBU0I,BBK01.CEBU0I_FLAGS
"",short-term savings deposits  debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:05,
1991-01,257.5,
1991-04,255.5,
1991-07,253.6,
1991-10,258.8,
1992-01,259.5,
1992-04,261.2,
1992-07,262.8,
1992-10,263.5,
1993-01,273.7,
1993-04,277.7,
1993-07,282.8,
1993-10,297.0,
1994-01,307.9,
1994-04,314.3,
1994-07,322.2,
1994-10,331.0,
1995-01,341.6,
1995-04,350.7,
1995-07,359.7,
1995-10,378.9,
1996-01,402.7,
1996-04,413.6,
1996-07,423.0,
1996-10,437.8,
1997-01,451.9,
1997-04,456.7,
1997-07,462.0,
1997-10,469.3,
1998-01,477.6,
1998-04,479.8,
1998-07,482.5,
1998-10,490.5,
1999-01,498.3,
1999-04,503.4,
1999-07,502.8,
1999-10,498.4,
2000-01,486.6,
2000-04,470.5,
2000-07,457.5,
2000-10,445.3,
2001-01,441.7,
2001-04,442.4,
2001-07,445.8,
2001-10,457.3,
2002-01,462.2,
2002-04,456.6,
2002-07,459.1,
2002-10,468.3,
2003-01,479.7,
2003-04,484.9,
2003-07,492.9,
2003-10,495.7,
2004-01,500.5,
2004-04,504.0,
2004-07,507.7,
2004-10,509.5,
2005-01,513.2,
2005-04,514.6,
2005-07,516.1,
2005-10,513.1,
2006-01,512.1,
2006-04,506.8,
2006-07,497.4,
2006-10,482.3,
2007-01,471.6,
2007-04,462.3,
2007-07,452.1,
2007-10,441.9,
2008-01,436.1,
2008-04,432.1,
2008-07,423.2,
2008-10,420.8,
2009-01,434.3,
2009-04,444.5,
2009-07,458.0,
2009-10,468.5,
2010-01,481.9,
2010-04,487.6,
2010-07,496.8,
2010-10,505.0,
2011-01,512.0,
2011-04,509.4,
2011-07,507.7,
2011-10,508.5,
2012-01,515.5,
2012-04,515.4,
2012-07,518.2,
2012-10,520.2,
2013-01,522.1,
2013-04,522.3,
2013-07,522.5,
2013-10,523.4,
2014-01,523.0,
