"",BBK01.CEFE11,BBK01.CEFE11_FLAGS
"",short-term loans  debtor: Non-financial corporations                        creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:50,
1999-01,94.7,
1999-04,93.2,
1999-07,96.8,
1999-10,97.8,
2000-01,97.3,
2000-04,99.7,
2000-07,82.1,
2000-10,98.2,
2001-01,110.3,
2001-04,108.3,
2001-07,107.9,
2001-10,108.7,
2002-01,124.6,
2002-04,125.9,
2002-07,131.9,
2002-10,130.4,
2003-01,131.2,
2003-04,127.7,
2003-07,125.7,
2003-10,124.8,
2004-01,127.3,
2004-04,126.2,
2004-07,126.0,
2004-10,122.8,
2005-01,126.2,
2005-04,130.6,
2005-07,134.5,
2005-10,136.4,
2006-01,138.5,
2006-04,136.6,
2006-07,132.6,
2006-10,135.6,
2007-01,127.3,
2007-04,125.4,
2007-07,123.3,
2007-10,131.8,
2008-01,135.7,
2008-04,137.0,
2008-07,142.3,
2008-10,143.2,
2009-01,144.0,
2009-04,155.9,
2009-07,145.6,
2009-10,134.0,
2010-01,125.6,
2010-04,130.6,
2010-07,122.7,
2010-10,127.0,
2011-01,132.3,
2011-04,130.2,
2011-07,130.3,
2011-10,133.3,
2012-01,133.8,
2012-04,137.8,
2012-07,138.6,
2012-10,139.3,
2013-01,143.0,
2013-04,142.4,
2013-07,145.0,
2013-10,146.8,
2014-01,150.8,
2014-04,152.4,
2014-07,158.2,
