"",BBK01.CEFFC0,BBK01.CEFFC0_FLAGS
"",long-term loans                                            debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:49,
1999-01,478.8,
1999-04,477.8,
1999-07,472.8,
1999-10,478.7,
2000-01,490.1,
2000-04,491.1,
2000-07,485.1,
2000-10,472.4,
2001-01,466.4,
2001-04,464.2,
2001-07,460.8,
2001-10,455.3,
2002-01,449.9,
2002-04,445.3,
2002-07,442.8,
2002-10,439.7,
2003-01,437.2,
2003-04,437.7,
2003-07,441.0,
2003-10,447.1,
2004-01,445.3,
2004-04,445.0,
2004-07,447.1,
2004-10,444.9,
2005-01,445.4,
2005-04,438.7,
2005-07,441.1,
2005-10,438.6,
2006-01,434.2,
2006-04,428.7,
2006-07,425.2,
2006-10,427.2,
2007-01,416.1,
2007-04,412.1,
2007-07,407.8,
2007-10,402.0,
2008-01,408.9,
2008-04,409.7,
2008-07,403.8,
2008-10,403.7,
2009-01,401.6,
2009-04,408.4,
2009-07,411.8,
2009-10,414.8,
2010-01,411.4,
2010-04,425.4,
2010-07,427.0,
2010-10,438.9,
2011-01,443.6,
2011-04,439.3,
2011-07,443.5,
2011-10,437.0,
2012-01,452.9,
2012-04,460.8,
2012-07,465.6,
2012-10,471.5,
2013-01,473.4,
2013-04,478.5,
2013-07,479.1,
2013-10,477.5,
2014-01,471.0,
2014-04,468.1,
2014-07,464.0,
