"",BBK01.CEFR0L,BBK01.CEFR0L_FLAGS
"",long-term time deposits  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:45,
1999-01,50.8,
1999-04,51.7,
1999-07,53.4,
1999-10,54.6,
2000-01,56.1,
2000-04,57.2,
2000-07,57.5,
2000-10,58.4,
2001-01,59.1,
2001-04,59.9,
2001-07,60.3,
2001-10,60.1,
2002-01,61.3,
2002-04,61.2,
2002-07,61.2,
2002-10,64.9,
2003-01,66.0,
2003-04,66.0,
2003-07,67.7,
2003-10,74.5,
2004-01,75.7,
2004-04,78.3,
2004-07,78.9,
2004-10,85.0,
2005-01,87.2,
2005-04,87.8,
2005-07,88.6,
2005-10,93.5,
2006-01,93.6,
2006-04,94.8,
2006-07,96.8,
2006-10,100.9,
2007-01,100.8,
2007-04,101.7,
2007-07,104.7,
2007-10,110.5,
2008-01,111.9,
2008-04,114.7,
2008-07,117.5,
2008-10,120.6,
2009-01,120.6,
2009-04,123.8,
2009-07,125.7,
2009-10,127.7,
2010-01,124.7,
2010-04,124.9,
2010-07,124.5,
2010-10,128.2,
2011-01,125.3,
2011-04,124.9,
2011-07,124.5,
2011-10,124.9,
2012-01,118.7,
2012-04,117.4,
2012-07,115.5,
2012-10,119.2,
2013-01,115.5,
2013-04,114.9,
2013-07,112.6,
2013-10,111.8,
2014-01,109.6,
2014-04,109.0,
2014-07,107.6,
