"",BBK01.CEFS0J,BBK01.CEFS0J_FLAGS
"",Savings certificates  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:05,
1999-01,79.7,
1999-04,77.5,
1999-07,75.7,
1999-10,75.5,
2000-01,72.5,
2000-04,72.1,
2000-07,71.8,
2000-10,72.8,
2001-01,73.7,
2001-04,73.9,
2001-07,73.7,
2001-10,71.5,
2002-01,70.8,
2002-04,71.6,
2002-07,71.6,
2002-10,71.4,
2003-01,69.5,
2003-04,68.0,
2003-07,66.6,
2003-10,67.2,
2004-01,67.0,
2004-04,66.1,
2004-07,65.6,
2004-10,65.5,
2005-01,63.9,
2005-04,62.7,
2005-07,61.1,
2005-10,61.2,
2006-01,61.9,
2006-04,63.0,
2006-07,65.2,
2006-10,68.0,
2007-01,72.9,
2007-04,76.9,
2007-07,82.0,
2007-10,88.2,
2008-01,91.9,
2008-04,95.5,
2008-07,99.5,
2008-10,105.3,
2009-01,99.5,
2009-04,88.8,
2009-07,79.0,
2009-10,73.4,
2010-01,70.8,
2010-04,70.1,
2010-07,69.1,
2010-10,70.1,
2011-01,72.0,
2011-04,76.3,
2011-07,78.1,
2011-10,80.4,
2012-01,79.4,
2012-04,78.2,
2012-07,75.3,
2012-10,71.1,
2013-01,65.2,
2013-04,59.9,
2013-07,57.1,
2013-10,55.6,
2014-01,53.0,
2014-04,50.1,
2014-07,47.3,
