"",BBK01.CEHF0B,BBK01.CEHF0B_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:03,
1991-01,2.2,
1991-04,-0.2,
1991-07,3.2,
1991-10,-1.6,
1992-01,2.2,
1992-04,0.6,
1992-07,2.4,
1992-10,-2.5,
1993-01,2.0,
1993-04,2.1,
1993-07,3.1,
1993-10,-1.9,
1994-01,1.9,
1994-04,2.1,
1994-07,1.7,
1994-10,0.7,
1995-01,-3.8,
1995-04,2.7,
1995-07,2.4,
1995-10,2.2,
1996-01,4.2,
1996-04,1.2,
1996-07,2.2,
1996-10,-3.3,
1997-01,2.6,
1997-04,2.0,
1997-07,1.3,
1997-10,-2.6,
1998-01,1.7,
1998-04,0.0,
1998-07,1.5,
1998-10,0.9,
1999-01,1.4,
1999-04,1.4,
1999-07,1.4,
1999-10,4.1,
2000-01,1.2,
2000-04,2.8,
2000-07,2.1,
2000-10,-4.0,
2001-01,2.2,
2001-04,2.0,
2001-07,3.9,
2001-10,7.9,
2002-01,3.6,
2002-04,2.0,
2002-07,-0.7,
2002-10,15.0,
2003-01,1.7,
2003-04,3.1,
2003-07,2.6,
2003-10,14.6,
2004-01,3.6,
2004-04,0.6,
2004-07,0.4,
2004-10,8.9,
2005-01,1.0,
2005-04,-0.5,
2005-07,0.0,
2005-10,-9.4,
2006-01,4.3,
2006-04,3.0,
2006-07,3.2,
2006-10,-0.5,
2007-01,3.7,
2007-04,2.9,
2007-07,4.4,
2007-10,0.3,
2008-01,-2.4,
2008-04,1.8,
2008-07,0.1,
2008-10,-1.6,
2009-01,8.0,
2009-04,5.1,
2009-07,2.2,
2009-10,3.0,
2010-01,5.6,
2010-04,1.6,
2010-07,1.2,
2010-10,-1.5,
2011-01,1.7,
2011-04,1.2,
2011-07,0.8,
2011-10,0.4,
2012-01,2.6,
2012-04,-0.5,
2012-07,0.9,
2012-10,-0.1,
2013-01,2.0,
2013-04,0.8,
2013-07,1.9,
2013-10,1.1,
2014-01,2.0,
