"",BBK01.CEHH03,BBK01.CEHH03_FLAGS
"",Shares debtor: All sectors                   creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:52,
1991-01,-1.0,
1991-04,1.4,
1991-07,0.1,
1991-10,0.3,
1992-01,3.3,
1992-04,1.0,
1992-07,-1.0,
1992-10,1.1,
1993-01,5.3,
1993-04,-2.1,
1993-07,1.2,
1993-10,1.9,
1994-01,4.8,
1994-04,-1.1,
1994-07,0.7,
1994-10,0.2,
1995-01,3.4,
1995-04,-0.9,
1995-07,1.1,
1995-10,2.0,
1996-01,8.1,
1996-04,-3.7,
1996-07,-1.0,
1996-10,4.7,
1997-01,11.6,
1997-04,-3.0,
1997-07,-3.0,
1997-10,1.6,
1998-01,22.7,
1998-04,-2.8,
1998-07,-10.2,
1998-10,0.3,
1999-01,22.2,
1999-04,-7.5,
1999-07,0.1,
1999-10,14.1,
2000-01,46.7,
2000-04,-48.4,
2000-07,-1.6,
2000-10,16.3,
2001-01,34.2,
2001-04,-26.9,
2001-07,-15.7,
2001-10,-1.4,
2002-01,-6.5,
2002-04,-9.5,
2002-07,-3.2,
2002-10,5.9,
2003-01,-8.4,
2003-04,3.5,
2003-07,-0.2,
2003-10,4.7,
2004-01,3.3,
2004-04,-6.3,
2004-07,-8.5,
2004-10,9.2,
2005-01,1.1,
2005-04,-4.2,
2005-07,8.3,
2005-10,6.2,
2006-01,11.9,
2006-04,-10.3,
2006-07,13.6,
2006-10,13.8,
2007-01,-21.5,
2007-04,-7.1,
2007-07,-1.2,
2007-10,11.4,
2008-01,-6.5,
2008-04,-4.7,
2008-07,-6.6,
2008-10,-0.6,
2009-01,16.3,
2009-04,-6.7,
2009-07,-1.5,
2009-10,5.4,
2010-01,-0.7,
2010-04,6.6,
2010-07,-2.9,
2010-10,4.2,
2011-01,5.6,
2011-04,0.4,
2011-07,-20.9,
2011-10,13.7,
2012-01,-4.1,
2012-04,-2.7,
2012-07,3.0,
2012-10,7.4,
2013-01,3.3,
2013-04,-6.3,
2013-07,2.7,
2013-10,3.4,
2014-01,5.8,
