"",BBK01.CEL30C,BBK01.CEL30C_FLAGS
"",Debt securities                                  debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:03,
1999-01,-0.3,
1999-04,-0.3,
1999-07,-0.2,
1999-10,-1.5,
2000-01,0.7,
2000-04,3.3,
2000-07,-0.3,
2000-10,-0.6,
2001-01,0.1,
2001-04,-0.4,
2001-07,0.0,
2001-10,-0.9,
2002-01,-0.7,
2002-04,-0.2,
2002-07,-0.5,
2002-10,1.9,
2003-01,0.7,
2003-04,0.1,
2003-07,-0.3,
2003-10,1.8,
2004-01,0.2,
2004-04,0.1,
2004-07,0.2,
2004-10,0.5,
2005-01,0.5,
2005-04,-0.2,
2005-07,0.0,
2005-10,-0.6,
2006-01,-0.8,
2006-04,0.4,
2006-07,0.3,
2006-10,-0.3,
2007-01,0.5,
2007-04,0.6,
2007-07,0.1,
2007-10,0.1,
2008-01,15.8,
2008-04,23.4,
2008-07,0.5,
2008-10,-0.2,
2009-01,-1.6,
2009-04,0.7,
2009-07,2.2,
2009-10,1.9,
2010-01,0.0,
2010-04,6.7,
2010-07,-1.2,
2010-10,97.4,
2011-01,-9.0,
2011-04,-2.7,
2011-07,0.4,
2011-10,1.5,
2012-01,-4.4,
2012-04,1.6,
2012-07,-5.3,
2012-10,-2.2,
2013-01,-2.9,
2013-04,-2.4,
2013-07,-4.2,
2013-10,-1.7,
2014-01,-1.0,
2014-04,-1.1,
2014-07,-0.3,
