"",BBK01.CEL320,BBK01.CEL320_FLAGS
"",Debt securities                                  debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:56,
1999-01,58.5,
1999-04,48.5,
1999-07,46.8,
1999-10,31.6,
2000-01,27.6,
2000-04,52.9,
2000-07,44.0,
2000-10,-2.3,
2001-01,35.1,
2001-04,7.1,
2001-07,1.7,
2001-10,5.5,
2002-01,34.1,
2002-04,-1.0,
2002-07,5.9,
2002-10,-25.7,
2003-01,11.1,
2003-04,-0.3,
2003-07,8.1,
2003-10,0.1,
2004-01,44.9,
2004-04,22.8,
2004-07,21.6,
2004-10,-28.1,
2005-01,38.4,
2005-04,54.2,
2005-07,-5.5,
2005-10,-28.2,
2006-01,28.9,
2006-04,-0.3,
2006-07,4.2,
2006-10,-0.1,
2007-01,32.1,
2007-04,21.1,
2007-07,-12.1,
2007-10,-7.9,
2008-01,-3.5,
2008-04,26.3,
2008-07,27.9,
2008-10,14.9,
2009-01,-19.6,
2009-04,-9.6,
2009-07,-24.4,
2009-10,-35.3,
2010-01,10.4,
2010-04,-11.7,
2010-07,-52.6,
2010-10,-20.4,
2011-01,-19.5,
2011-04,-19.3,
2011-07,-6.4,
2011-10,-23.1,
2012-01,-51.6,
2012-04,-15.8,
2012-07,-28.1,
2012-10,-46.7,
2013-01,-20.6,
2013-04,-43.9,
2013-07,-26.6,
2013-10,-45.3,
2014-01,-16.8,
2014-04,-0.9,
2014-07,14.1,
