"",BBK01.CELE5N,BBK01.CELE5N_FLAGS
"",short-term loans debtor: OFI  creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:38,
1999-01,8.6,
1999-04,10.2,
1999-07,-9.1,
1999-10,9.8,
2000-01,20.9,
2000-04,14.0,
2000-07,-8.3,
2000-10,4.3,
2001-01,6.8,
2001-04,-1.5,
2001-07,3.6,
2001-10,-16.1,
2002-01,-6.2,
2002-04,-3.2,
2002-07,-5.0,
2002-10,0.1,
2003-01,9.4,
2003-04,1.3,
2003-07,-0.5,
2003-10,-8.3,
2004-01,6.2,
2004-04,-7.2,
2004-07,-2.1,
2004-10,-5.5,
2005-01,-5.5,
2005-04,2.4,
2005-07,9.5,
2005-10,6.9,
2006-01,8.1,
2006-04,13.6,
2006-07,-1.8,
2006-10,2.8,
2007-01,17.5,
2007-04,19.2,
2007-07,-2.8,
2007-10,-14.5,
2008-01,14.1,
2008-04,3.5,
2008-07,-14.1,
2008-10,10.4,
2009-01,-13.0,
2009-04,5.4,
2009-07,-8.1,
2009-10,34.3,
2010-01,-27.0,
2010-04,15.4,
2010-07,19.4,
2010-10,3.5,
2011-01,5.6,
2011-04,18.4,
2011-07,39.0,
2011-10,-12.6,
2012-01,21.5,
2012-04,24.1,
2012-07,-21.1,
2012-10,-2.6,
2013-01,26.3,
2013-04,32.3,
2013-07,-17.2,
2013-10,-20.7,
2014-01,14.5,
2014-04,4.1,
2014-07,-0.9,
