"",BBK01.CELXC2,BBK01.CELXC2_FLAGS
"",Non-life insurance technical reserves debtor: Domestic financial sectors                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:02,
1999-01,6.7,
1999-04,3.5,
1999-07,4.1,
1999-10,4.9,
2000-01,7.6,
2000-04,3.3,
2000-07,3.5,
2000-10,-2.5,
2001-01,7.5,
2001-04,3.4,
2001-07,6.6,
2001-10,9.1,
2002-01,12.1,
2002-04,3.5,
2002-07,4.6,
2002-10,-6.8,
2003-01,5.0,
2003-04,4.4,
2003-07,3.3,
2003-10,0.5,
2004-01,5.6,
2004-04,1.5,
2004-07,3.2,
2004-10,3.5,
2005-01,7.1,
2005-04,2.5,
2005-07,5.7,
2005-10,7.2,
2006-01,1.5,
2006-04,1.5,
2006-07,1.5,
2006-10,2.0,
2007-01,-2.6,
2007-04,-2.5,
2007-07,-2.5,
2007-10,9.1,
2008-01,1.8,
2008-04,1.7,
2008-07,1.6,
2008-10,1.5,
2009-01,-3.2,
2009-04,6.1,
2009-07,7.5,
2009-10,2.8,
2010-01,-0.1,
2010-04,4.8,
2010-07,7.4,
2010-10,6.2,
2011-01,4.4,
2011-04,5.7,
2011-07,6.3,
2011-10,6.0,
2012-01,3.1,
2012-04,5.4,
2012-07,7.5,
2012-10,7.7,
2013-01,5.5,
2013-04,5.5,
2013-07,5.5,
2013-10,5.6,
2014-01,4.2,
2014-04,4.2,
2014-07,4.1,
