"",BBK01.EU8208,BBK01.EU8208_FLAGS
"","External position of the Bundesbank up to 1998 / Claims on the European Central Bank / ECU balances, resulting from the provisional contribution of gold and dollar reserves",
unit,DM (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:10,
1979-03,6490.645,
1979-04,12345.923,
1979-05,12345.923,
1979-06,12345.923,
1979-07,12308.337,
1979-08,12308.337,
1979-09,12308.337,
1979-10,13148.729,
1979-11,13148.729,
1979-12,13156.230,
1980-01,14560.150,
1980-02,14560.150,
1980-03,14560.150,
1980-04,18155.521,
1980-05,18155.521,
1980-06,18155.521,
1980-07,18423.907,
1980-08,18423.907,
1980-09,18423.907,
1980-10,18712.647,
1980-11,18712.647,
1980-12,18954.683,
1981-01,20204.932,
1981-02,20204.932,
1981-03,20204.932,
1981-04,20950.854,
1981-05,20950.854,
1981-06,20950.854,
1981-07,19997.557,
1981-08,19997.557,
1981-09,19997.557,
1981-10,18381.799,
1981-11,18381.799,
1981-12,18426.728,
1982-01,17206.924,
1982-02,17206.924,
1982-03,17206.924,
1982-04,16616.882,
1982-05,16616.882,
1982-06,16616.882,
1982-07,16413.685,
1982-08,16413.685,
1982-09,16413.685,
1982-10,18171.161,
1982-11,18171.161,
1982-12,17099.042,
1983-01,18667.669,
1983-02,18667.669,
1983-03,18667.669,
1983-04,20323.307,
1983-05,20323.307,
1983-06,20323.307,
1983-07,20208.374,
1983-08,20208.374,
1983-09,20208.373,
1983-10,20539.890,
1983-11,20539.890,
1983-12,20158.943,
1984-01,20326.243,
1984-02,20326.243,
1984-03,20326.243,
1984-04,20062.498,
1984-05,20062.497,
1984-06,20062.497,
1984-07,20872.563,
1984-08,20872.563,
1984-09,20872.563,
1984-10,20793.867,
1984-11,20793.867,
1984-12,20556.958,
1985-01,20547.255,
1985-02,20547.255,
1985-03,20547.255,
1985-04,19974.998,
1985-05,19974.998,
1985-06,19974.998,
1985-07,19775.661,
1985-08,19775.661,
1985-09,19775.661,
1985-10,18528.580,
1985-11,18528.580,
1985-12,20360.825,
1986-01,19142.491,
1986-02,19142.491,
1986-03,17946.445,
1986-04,17346.527,
1986-05,17346.527,
1986-06,17346.527,
1986-07,16140.145,
1986-08,16140.145,
1986-09,16140.145,
1986-10,16803.043,
1986-11,16803.043,
1986-12,15973.915,
1987-01,16203.460,
1987-02,16203.460,
1987-03,16203.460,
1987-04,16601.203,
1987-05,16601.203,
1987-06,16601.202,
1987-07,17751.246,
1987-08,17751.246,
1987-09,17751.246,
1987-10,18196.349,
1987-11,18196.349,
1987-12,18058.218,
1988-01,17744.801,
1988-02,17744.801,
1988-03,17744.801,
1988-04,18054.960,
1988-05,18054.960,
1988-06,18054.960,
1988-07,17995.781,
1988-08,17995.781,
1988-09,17995.781,
1988-10,16733.977,
1988-11,16733.977,
1988-12,16733.977,
1989-01,16058.589,
1989-02,16058.589,
1989-03,16058.589,
1989-04,16021.769,
1989-05,16021.769,
1989-06,16021.769,
1989-07,16498.503,
1989-08,16498.503,
1989-09,16498.503,
1989-10,16717.331,
1989-11,16717.331,
1989-12,16423.446,
1990-01,16101.118,
1990-02,16101.118,
1990-03,16101.118,
1990-04,15714.284,
1990-05,15714.284,
1990-06,15714.284,
1990-07,15191.808,
1990-08,15191.808,
1990-09,15191.808,
1990-10,15009.529,
1990-11,15009.529,
1990-12,15009.529,
1991-01,15036.043,
1991-02,15036.043,
1991-03,15036.043,
1991-04,14833.608,
1991-05,14833.608,
1991-06,14833.608,
1991-07,15619.654,
1991-08,15619.654,
1991-09,15619.654,
1991-10,14880.471,
1991-11,14880.471,
1991-12,14880.471,
1992-01,13847.504,
1992-02,13847.504,
1992-03,13847.504,
1992-04,14940.660,
1992-05,14940.660,
1992-06,14940.660,
1992-07,13773.030,
1992-08,13773.030,
1992-09,13773.030,
1992-10,14468.727,
1992-11,14468.727,
1992-12,13916.603,
1993-01,15998.151,
1993-02,15998.151,
1993-03,15998.151,
1993-04,14797.619,
1993-05,14797.619,
1993-06,14797.619,
1993-07,15730.274,
1993-08,15730.274,
1993-09,15730.274,
1993-10,15443.178,
1993-11,15443.178,
1993-12,15042.439,
1994-01,17025.196,
1994-02,17025.196,
1994-03,17025.196,
1994-04,17482.105,
1994-05,17482.105,
1994-06,17482.105,
1994-07,16771.851,
1994-08,16771.851,
1994-09,16771.851,
1994-10,16893.596,
1994-11,16893.596,
1994-12,16893.596,
1995-01,16045.762,
1995-02,16045.762,
1995-03,16045.762,
1995-04,14886.425,
1995-05,14886.425,
1995-06,14886.425,
1995-07,15143.110,
1995-08,15143.110,
1995-09,15143.110,
1995-10,15428.558,
1995-11,15428.558,
1995-12,14921.855,
1996-01,15459.149,
1996-02,15459.149,
1996-03,15459.149,
1996-04,16078.846,
1996-05,16078.846,
1996-06,16078.846,
1996-07,16670.123,
1996-08,16670.123,
1996-09,16670.123,
1996-10,16994.482,
1996-11,16994.482,
1996-12,16994.482,
1997-01,16722.180,
1997-02,16722.180,
1997-03,16722.180,
1997-04,17520.248,
1997-05,17520.248,
1997-06,17520.248,
1997-07,17679.984,
1997-08,17679.984,
1997-09,17679.984,
1997-10,17066.224,
1997-11,17066.224,
1997-12,18394.614,
1998-01,17983.719,
1998-02,17983.719,
1998-03,17983.719,
1998-04,18387.261,
1998-05,18387.262,
1998-06,18387.262,
1998-07,18284.847,
1998-08,18284.847,
1998-09,18284.847,
1998-10,16666.488,
1998-11,16666.488,
1998-12,-,Nothing exists
