"",BBK01.OEAA08J,BBK01.OEAA08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:31,
2002-01,0.086,
2002-04,0.084,
2002-07,0.091,
2002-10,0.051,
2003-01,0.050,
2003-04,0.041,
2003-07,0.046,
2003-10,0.047,
2004-01,0.048,
2004-04,0.059,
2004-07,0.064,
2004-10,0.052,
2005-01,0.061,
2005-04,0.061,
2005-07,0.056,
2005-10,0.056,
2006-01,0.059,
2006-04,0.058,
2006-07,0.053,
2006-10,0.053,
2007-01,0.050,
2007-04,0.045,
2007-07,0.049,
2007-10,0.045,
2008-01,0.040,
2008-04,0.040,
2008-07,0.038,
2008-10,0.038,
2009-01,0.035,
2009-04,0.036,
2009-07,0.032,
2009-10,0.029,
2010-01,0.031,
2010-04,0.029,
2010-07,0.030,
2010-10,0.028,
2011-01,0.029,
2011-04,0.029,
2011-07,0.029,
2011-10,0.029,
2012-01,0.026,
2012-04,0.226,
2012-07,0.217,
2012-10,0.217,
2013-01,0.205,
2013-04,0.207,
2013-07,0.201,
2013-10,0.203,
2014-01,0.199,
2014-04,0.197,
2014-07,0.189,
