"",BBK01.OEAA28O,BBK01.OEAA28O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:35,
2002-01,0.025,
2002-04,0.030,
2002-07,0.033,
2002-10,0.044,
2003-01,0.034,
2003-04,0.026,
2003-07,0.024,
2003-10,0.027,
2004-01,0.031,
2004-04,0.017,
2004-07,0.020,
2004-10,0.014,
2005-01,0.012,
2005-04,0.012,
2005-07,0.012,
2005-10,0.012,
2006-01,0.011,
2006-04,0.010,
2006-07,0.009,
2006-10,0.012,
2007-01,0.008,
2007-04,0.008,
2007-07,0.008,
2007-10,0.012,
2008-01,0.009,
2008-04,0.007,
2008-07,0.006,
2008-10,0.007,
2009-01,0.007,
2009-04,0.007,
2009-07,0.006,
2009-10,0.006,
2010-01,0.005,
2010-04,0.004,
2010-07,0.005,
2010-10,0.005,
2011-01,0.004,
2011-04,0.005,
2011-07,0.002,
2011-10,0.003,
2012-01,0.002,
2012-04,0.001,
2012-07,0.001,
2012-10,0.001,
2013-01,-,Nothing exists
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
