"",BBK01.OEAA32H,BBK01.OEAA32H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:55,
2002-01,0.773,
2002-04,0.750,
2002-07,0.755,
2002-10,0.738,
2003-01,0.747,
2003-04,0.728,
2003-07,0.757,
2003-10,1.091,
2004-01,0.733,
2004-04,0.747,
2004-07,0.769,
2004-10,0.734,
2005-01,0.747,
2005-04,0.727,
2005-07,0.718,
2005-10,0.873,
2006-01,0.853,
2006-04,0.832,
2006-07,0.815,
2006-10,0.786,
2007-01,0.758,
2007-04,0.681,
2007-07,0.657,
2007-10,0.586,
2008-01,0.581,
2008-04,0.569,
2008-07,0.560,
2008-10,0.535,
2009-01,0.536,
2009-04,0.517,
2009-07,0.514,
2009-10,0.487,
2010-01,0.486,
2010-04,0.476,
2010-07,0.485,
2010-10,0.468,
2011-01,0.463,
2011-04,0.466,
2011-07,0.463,
2011-10,0.444,
2012-01,0.439,
2012-04,0.433,
2012-07,0.422,
2012-10,0.400,
2013-01,0.385,
2013-04,0.375,
2013-07,0.371,
2013-10,0.350,
2014-01,0.347,
2014-04,0.345,
2014-07,0.339,
