"",BBK01.OEAA42R,BBK01.OEAA42R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:48,
2002-01,0.099,
2002-04,0.126,
2002-07,0.132,
2002-10,0.145,
2003-01,0.182,
2003-04,0.168,
2003-07,0.175,
2003-10,0.438,
2004-01,0.236,
2004-04,0.232,
2004-07,0.227,
2004-10,0.259,
2005-01,0.281,
2005-04,0.274,
2005-07,0.274,
2005-10,0.291,
2006-01,0.283,
2006-04,0.313,
2006-07,0.308,
2006-10,0.307,
2007-01,0.321,
2007-04,0.296,
2007-07,0.274,
2007-10,0.243,
2008-01,0.314,
2008-04,0.355,
2008-07,0.422,
2008-10,0.355,
2009-01,0.317,
2009-04,0.254,
2009-07,0.199,
2009-10,0.278,
2010-01,0.188,
2010-04,0.148,
2010-07,0.215,
2010-10,0.138,
2011-01,0.207,
2011-04,0.235,
2011-07,0.167,
2011-10,0.145,
2012-01,0.218,
2012-04,0.171,
2012-07,0.199,
2012-10,0.228,
2013-01,0.236,
2013-04,0.299,
2013-07,0.294,
2013-10,0.345,
2014-01,0.392,
2014-04,0.456,
2014-07,0.431,
