"",BBK01.OEAA45V,BBK01.OEAA45V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:19,
2002-01,7.309,
2002-04,7.340,
2002-07,7.401,
2002-10,7.752,
2003-01,7.800,
2003-04,8.013,
2003-07,8.152,
2003-10,8.357,
2004-01,8.567,
2004-04,8.801,
2004-07,9.094,
2004-10,9.165,
2005-01,9.440,
2005-04,9.405,
2005-07,9.384,
2005-10,9.282,
2006-01,9.245,
2006-04,8.963,
2006-07,8.912,
2006-10,8.976,
2007-01,8.913,
2007-04,8.821,
2007-07,8.704,
2007-10,8.348,
2008-01,7.848,
2008-04,5.532,
2008-07,5.911,
2008-10,5.935,
2009-01,5.370,
2009-04,5.519,
2009-07,5.548,
2009-10,5.475,
2010-01,5.548,
2010-04,5.753,
2010-07,6.398,
2010-10,6.610,
2011-01,6.607,
2011-04,6.559,
2011-07,6.499,
2011-10,6.558,
2012-01,6.479,
2012-04,6.719,
2012-07,6.668,
2012-10,6.733,
2013-01,6.581,
2013-04,6.538,
2013-07,6.485,
2013-10,6.347,
2014-01,6.231,
2014-04,5.993,
2014-07,5.773,
