"",BBK01.OEAA54L,BBK01.OEAA54L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:37,
2002-01,15.340,
2002-04,15.122,
2002-07,15.870,
2002-10,16.542,
2003-01,21.467,
2003-04,18.343,
2003-07,18.923,
2003-10,18.010,
2004-01,18.854,
2004-04,19.262,
2004-07,19.499,
2004-10,18.969,
2005-01,19.935,
2005-04,21.344,
2005-07,21.868,
2005-10,23.157,
2006-01,22.959,
2006-04,22.243,
2006-07,23.672,
2006-10,21.316,
2007-01,21.304,
2007-04,26.758,
2007-07,28.775,
2007-10,30.181,
2008-01,33.211,
2008-04,31.724,
2008-07,38.648,
2008-10,38.502,
2009-01,35.764,
2009-04,36.825,
2009-07,33.644,
2009-10,31.967,
2010-01,34.001,
2010-04,35.251,
2010-07,34.148,
2010-10,34.846,
2011-01,33.330,
2011-04,30.804,
2011-07,32.070,
2011-10,31.979,
2012-01,31.486,
2012-04,31.979,
2012-07,31.585,
2012-10,32.719,
2013-01,33.321,
2013-04,33.400,
2013-07,33.330,
2013-10,34.689,
2014-01,34.920,
2014-04,36.671,
2014-07,39.182,
