"",BBK01.OEAA55K,BBK01.OEAA55K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:15,
2002-01,11.511,
2002-04,10.991,
2002-07,11.559,
2002-10,11.299,
2003-01,10.970,
2003-04,10.346,
2003-07,10.152,
2003-10,9.561,
2004-01,9.602,
2004-04,11.940,
2004-07,11.903,
2004-10,11.762,
2005-01,11.113,
2005-04,12.099,
2005-07,12.948,
2005-10,14.555,
2006-01,15.808,
2006-04,15.775,
2006-07,17.237,
2006-10,17.147,
2007-01,17.158,
2007-04,18.244,
2007-07,19.376,
2007-10,19.466,
2008-01,19.750,
2008-04,20.522,
2008-07,23.229,
2008-10,24.717,
2009-01,25.775,
2009-04,25.520,
2009-07,25.567,
2009-10,20.758,
2010-01,21.695,
2010-04,23.153,
2010-07,24.302,
2010-10,25.258,
2011-01,24.133,
2011-04,23.878,
2011-07,27.332,
2011-10,26.017,
2012-01,25.448,
2012-04,27.332,
2012-07,27.253,
2012-10,27.364,
2013-01,27.410,
2013-04,26.837,
2013-07,25.639,
2013-10,21.937,
2014-01,21.627,
2014-04,21.507,
2014-07,21.961,
