"",BBK01.OEAB21L,BBK01.OEAB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:13,
2002-01,145.196,
2002-04,136.863,
2002-07,135.051,
2002-10,136.036,
2003-01,131.974,
2003-04,126.841,
2003-07,124.928,
2003-10,124.493,
2004-01,127.390,
2004-04,120.700,
2004-07,119.519,
2004-10,116.223,
2005-01,115.997,
2005-04,111.315,
2005-07,105.797,
2005-10,103.421,
2006-01,96.960,
2006-04,91.244,
2006-07,89.387,
2006-10,88.071,
2007-01,81.254,
2007-04,76.395,
2007-07,73.918,
2007-10,72.078,
2008-01,66.682,
2008-04,67.158,
2008-07,79.948,
2008-10,80.257,
2009-01,78.482,
2009-04,74.441,
2009-07,61.098,
2009-10,54.837,
2010-01,55.264,
2010-04,54.575,
2010-07,54.876,
2010-10,60.342,
2011-01,62.761,
2011-04,55.666,
2011-07,55.228,
2011-10,54.117,
2012-01,53.550,
2012-04,54.451,
2012-07,50.994,
2012-10,54.044,
2013-01,51.289,
2013-04,52.161,
2013-07,54.349,
2013-10,57.115,
2014-01,57.176,
2014-04,56.242,
2014-07,53.326,
