"",BBK01.OEAC18M,BBK01.OEAC18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:33,
2002-01,0.362,
2002-04,0.314,
2002-07,0.372,
2002-10,0.567,
2003-01,0.595,
2003-04,0.579,
2003-07,0.567,
2003-10,0.645,
2004-01,0.563,
2004-04,0.670,
2004-07,0.614,
2004-10,0.624,
2005-01,0.659,
2005-04,0.633,
2005-07,0.692,
2005-10,0.626,
2006-01,0.497,
2006-04,0.568,
2006-07,0.474,
2006-10,0.480,
2007-01,0.487,
2007-04,0.361,
2007-07,0.494,
2007-10,0.607,
2008-01,0.671,
2008-04,0.686,
2008-07,0.747,
2008-10,0.729,
2009-01,0.817,
2009-04,0.749,
2009-07,0.637,
2009-10,0.658,
2010-01,0.733,
2010-04,0.707,
2010-07,0.669,
2010-10,0.537,
2011-01,0.500,
2011-04,0.623,
2011-07,0.691,
2011-10,0.548,
2012-01,0.566,
2012-04,0.701,
2012-07,0.755,
2012-10,0.758,
2013-01,0.669,
2013-04,0.632,
2013-07,0.653,
2013-10,0.645,
2014-01,0.632,
2014-04,0.514,
2014-07,0.557,
