"",BBK01.OEAC22P,BBK01.OEAC22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:03,
2002-01,0.048,
2002-04,0.048,
2002-07,0.049,
2002-10,0.047,
2003-01,0.052,
2003-04,0.050,
2003-07,0.045,
2003-10,0.038,
2004-01,0.038,
2004-04,0.033,
2004-07,0.031,
2004-10,0.032,
2005-01,0.032,
2005-04,0.029,
2005-07,0.028,
2005-10,0.030,
2006-01,0.035,
2006-04,0.031,
2006-07,0.030,
2006-10,0.026,
2007-01,0.028,
2007-04,0.029,
2007-07,0.028,
2007-10,0.029,
2008-01,0.031,
2008-04,0.031,
2008-07,0.031,
2008-10,0.030,
2009-01,0.034,
2009-04,0.028,
2009-07,0.026,
2009-10,0.020,
2010-01,0.022,
2010-04,0.025,
2010-07,0.026,
2010-10,0.027,
2011-01,0.026,
2011-04,0.026,
2011-07,0.024,
2011-10,0.024,
2012-01,0.024,
2012-04,0.024,
2012-07,0.022,
2012-10,0.021,
2013-01,0.023,
2013-04,0.022,
2013-07,0.024,
2013-10,0.022,
2014-01,0.023,
2014-04,0.022,
2014-07,0.024,
