"",BBK01.OEAC33N,BBK01.OEAC33N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:08,
2002-01,0.082,
2002-04,0.092,
2002-07,0.093,
2002-10,0.157,
2003-01,0.154,
2003-04,0.160,
2003-07,0.107,
2003-10,0.107,
2004-01,0.313,
2004-04,0.400,
2004-07,0.381,
2004-10,0.316,
2005-01,0.306,
2005-04,0.114,
2005-07,0.118,
2005-10,0.116,
2006-01,0.119,
2006-04,0.139,
2006-07,0.162,
2006-10,0.148,
2007-01,0.157,
2007-04,0.205,
2007-07,0.264,
2007-10,0.285,
2008-01,0.276,
2008-04,0.272,
2008-07,0.266,
2008-10,0.526,
2009-01,0.718,
2009-04,0.770,
2009-07,0.804,
2009-10,0.836,
2010-01,0.869,
2010-04,0.905,
2010-07,0.936,
2010-10,0.933,
2011-01,1.096,
2011-04,0.920,
2011-07,1.013,
2011-10,1.072,
2012-01,1.082,
2012-04,1.077,
2012-07,1.215,
2012-10,1.230,
2013-01,1.219,
2013-04,1.227,
2013-07,1.061,
2013-10,1.028,
2014-01,1.109,
2014-04,0.980,
2014-07,0.874,
