"",BBK01.OEAC34I,BBK01.OEAC34I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:14,
2002-01,0.142,
2002-04,0.149,
2002-07,0.135,
2002-10,0.140,
2003-01,0.170,
2003-04,0.183,
2003-07,0.151,
2003-10,0.148,
2004-01,0.130,
2004-04,0.110,
2004-07,0.104,
2004-10,0.096,
2005-01,0.124,
2005-04,0.134,
2005-07,0.161,
2005-10,0.155,
2006-01,0.162,
2006-04,0.147,
2006-07,0.143,
2006-10,0.138,
2007-01,0.125,
2007-04,0.125,
2007-07,0.131,
2007-10,0.142,
2008-01,0.125,
2008-04,0.127,
2008-07,0.132,
2008-10,0.115,
2009-01,0.157,
2009-04,0.180,
2009-07,0.185,
2009-10,0.176,
2010-01,0.174,
2010-04,0.206,
2010-07,0.196,
2010-10,0.202,
2011-01,0.200,
2011-04,0.224,
2011-07,0.238,
2011-10,0.277,
2012-01,0.285,
2012-04,0.298,
2012-07,0.287,
2012-10,0.292,
2013-01,0.289,
2013-04,0.335,
2013-07,0.255,
2013-10,0.232,
2014-01,0.199,
2014-04,0.190,
2014-07,0.184,
