"",BBK01.OEAC35L,BBK01.OEAC35L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:23,
2002-01,0.843,
2002-04,0.810,
2002-07,0.909,
2002-10,0.933,
2003-01,1.131,
2003-04,1.059,
2003-07,1.049,
2003-10,1.064,
2004-01,1.096,
2004-04,1.210,
2004-07,1.183,
2004-10,1.218,
2005-01,1.112,
2005-04,1.105,
2005-07,1.122,
2005-10,1.257,
2006-01,1.268,
2006-04,1.280,
2006-07,1.261,
2006-10,1.235,
2007-01,1.194,
2007-04,1.177,
2007-07,1.181,
2007-10,1.257,
2008-01,1.424,
2008-04,1.482,
2008-07,1.638,
2008-10,1.511,
2009-01,1.275,
2009-04,1.294,
2009-07,1.310,
2009-10,1.508,
2010-01,1.514,
2010-04,1.419,
2010-07,1.297,
2010-10,1.327,
2011-01,1.358,
2011-04,1.287,
2011-07,1.432,
2011-10,1.318,
2012-01,1.375,
2012-04,1.377,
2012-07,1.301,
2012-10,1.191,
2013-01,1.303,
2013-04,1.359,
2013-07,1.382,
2013-10,1.275,
2014-01,1.292,
2014-04,1.345,
2014-07,1.369,
