"",BBK01.OEAC39K,BBK01.OEAC39K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:52,
2002-01,4.968,
2002-04,5.029,
2002-07,5.120,
2002-10,5.641,
2003-01,5.687,
2003-04,5.650,
2003-07,5.631,
2003-10,5.182,
2004-01,5.019,
2004-04,5.346,
2004-07,5.845,
2004-10,4.343,
2005-01,4.822,
2005-04,4.377,
2005-07,4.895,
2005-10,4.948,
2006-01,4.349,
2006-04,4.481,
2006-07,4.448,
2006-10,4.365,
2007-01,3.783,
2007-04,4.055,
2007-07,4.276,
2007-10,4.377,
2008-01,4.730,
2008-04,4.964,
2008-07,5.132,
2008-10,5.290,
2009-01,5.154,
2009-04,5.408,
2009-07,5.050,
2009-10,5.751,
2010-01,4.758,
2010-04,4.818,
2010-07,4.626,
2010-10,4.759,
2011-01,4.974,
2011-04,5.030,
2011-07,5.719,
2011-10,5.731,
2012-01,5.921,
2012-04,5.839,
2012-07,6.340,
2012-10,6.476,
2013-01,6.504,
2013-04,6.566,
2013-07,6.121,
2013-10,6.064,
2014-01,6.551,
2014-04,6.541,
2014-07,6.520,
