"",BBK01.OEAC52U,BBK01.OEAC52U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:16,
2002-01,0.194,
2002-04,0.196,
2002-07,0.188,
2002-10,0.188,
2003-01,0.188,
2003-04,0.181,
2003-07,0.180,
2003-10,0.188,
2004-01,0.186,
2004-04,0.179,
2004-07,0.176,
2004-10,0.179,
2005-01,0.179,
2005-04,0.187,
2005-07,0.183,
2005-10,0.187,
2006-01,0.185,
2006-04,0.186,
2006-07,0.187,
2006-10,0.186,
2007-01,0.189,
2007-04,0.187,
2007-07,0.185,
2007-10,0.188,
2008-01,0.193,
2008-04,0.197,
2008-07,0.197,
2008-10,0.197,
2009-01,0.218,
2009-04,0.211,
2009-07,0.202,
2009-10,0.194,
2010-01,0.207,
2010-04,0.209,
2010-07,0.210,
2010-10,0.228,
2011-01,0.222,
2011-04,0.232,
2011-07,0.231,
2011-10,0.250,
2012-01,0.243,
2012-04,0.251,
2012-07,0.247,
2012-10,0.266,
2013-01,0.262,
2013-04,0.413,
2013-07,0.414,
2013-10,0.447,
2014-01,0.690,
2014-04,0.772,
2014-07,0.765,
