"",BBK01.OEAD02R,BBK01.OEAD02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:29,
2002-01,0.012,
2002-04,0.017,
2002-07,0.032,
2002-10,0.043,
2003-01,0.044,
2003-04,0.047,
2003-07,0.055,
2003-10,0.055,
2004-01,0.056,
2004-04,0.058,
2004-07,0.060,
2004-10,0.056,
2005-01,0.052,
2005-04,0.060,
2005-07,0.039,
2005-10,0.037,
2006-01,0.037,
2006-04,0.043,
2006-07,0.047,
2006-10,0.048,
2007-01,0.042,
2007-04,0.036,
2007-07,0.038,
2007-10,0.038,
2008-01,0.041,
2008-04,0.033,
2008-07,0.033,
2008-10,0.042,
2009-01,0.040,
2009-04,0.039,
2009-07,0.042,
2009-10,0.062,
2010-01,0.049,
2010-04,0.051,
2010-07,0.048,
2010-10,0.043,
2011-01,0.042,
2011-04,0.044,
2011-07,0.049,
2011-10,0.051,
2012-01,0.044,
2012-04,0.041,
2012-07,0.032,
2012-10,0.022,
2013-01,0.050,
2013-04,0.048,
2013-07,0.044,
2013-10,0.046,
2014-01,0.045,
2014-04,0.034,
2014-07,0.031,
