"",BBK01.OEAD05I,BBK01.OEAD05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:00,
2002-01,0.364,
2002-04,0.346,
2002-07,0.341,
2002-10,0.320,
2003-01,0.347,
2003-04,0.409,
2003-07,0.402,
2003-10,0.393,
2004-01,0.382,
2004-04,0.402,
2004-07,0.385,
2004-10,0.364,
2005-01,0.366,
2005-04,0.348,
2005-07,0.346,
2005-10,0.296,
2006-01,0.296,
2006-04,0.287,
2006-07,0.307,
2006-10,0.337,
2007-01,0.327,
2007-04,0.337,
2007-07,0.329,
2007-10,0.324,
2008-01,0.327,
2008-04,0.342,
2008-07,0.357,
2008-10,0.299,
2009-01,0.293,
2009-04,0.333,
2009-07,0.332,
2009-10,0.319,
2010-01,0.226,
2010-04,0.211,
2010-07,0.213,
2010-10,0.213,
2011-01,0.297,
2011-04,0.284,
2011-07,0.290,
2011-10,0.295,
2012-01,0.291,
2012-04,0.281,
2012-07,0.276,
2012-10,0.268,
2013-01,0.254,
2013-04,0.251,
2013-07,0.240,
2013-10,0.222,
2014-01,0.216,
2014-04,0.223,
2014-07,0.206,
