"",BBK01.OEAE02O,BBK01.OEAE02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:48,
2002-01,2.627,
2002-04,2.919,
2002-07,3.025,
2002-10,3.066,
2003-01,3.079,
2003-04,2.769,
2003-07,2.809,
2003-10,3.078,
2004-01,3.061,
2004-04,3.700,
2004-07,3.756,
2004-10,3.786,
2005-01,3.752,
2005-04,3.725,
2005-07,3.773,
2005-10,3.695,
2006-01,3.675,
2006-04,3.448,
2006-07,3.530,
2006-10,3.488,
2007-01,3.569,
2007-04,3.608,
2007-07,3.585,
2007-10,3.760,
2008-01,3.739,
2008-04,3.752,
2008-07,3.636,
2008-10,4.380,
2009-01,4.737,
2009-04,4.390,
2009-07,4.453,
2009-10,5.616,
2010-01,4.635,
2010-04,4.556,
2010-07,4.703,
2010-10,4.784,
2011-01,4.469,
2011-04,4.560,
2011-07,4.396,
2011-10,4.235,
2012-01,4.385,
2012-04,4.475,
2012-07,4.692,
2012-10,4.788,
2013-01,4.840,
2013-04,5.006,
2013-07,7.413,
2013-10,7.938,
2014-01,8.038,
2014-04,7.981,
2014-07,7.852,
