"",BBK01.OEAE05J,BBK01.OEAE05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:34,
2002-01,0.247,
2002-04,0.251,
2002-07,0.254,
2002-10,0.251,
2003-01,0.239,
2003-04,0.238,
2003-07,0.226,
2003-10,0.225,
2004-01,0.225,
2004-04,0.225,
2004-07,0.214,
2004-10,0.215,
2005-01,0.225,
2005-04,0.224,
2005-07,0.230,
2005-10,0.233,
2006-01,0.234,
2006-04,0.239,
2006-07,0.239,
2006-10,0.216,
2007-01,0.213,
2007-04,0.216,
2007-07,0.214,
2007-10,0.211,
2008-01,0.211,
2008-04,0.208,
2008-07,0.205,
2008-10,0.211,
2009-01,0.216,
2009-04,0.209,
2009-07,0.194,
2009-10,0.192,
2010-01,0.029,
2010-04,0.170,
2010-07,0.155,
2010-10,0.153,
2011-01,0.166,
2011-04,0.165,
2011-07,0.168,
2011-10,0.170,
2012-01,0.174,
2012-04,0.172,
2012-07,0.172,
2012-10,0.172,
2013-01,0.177,
2013-04,0.173,
2013-07,0.170,
2013-10,0.158,
2014-01,0.158,
2014-04,0.156,
2014-07,0.154,
