"",BBK01.OEAE06Q,BBK01.OEAE06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:20,
2002-01,4.024,
2002-04,4.022,
2002-07,4.037,
2002-10,4.126,
2003-01,4.094,
2003-04,4.876,
2003-07,4.585,
2003-10,4.610,
2004-01,4.478,
2004-04,3.792,
2004-07,3.702,
2004-10,3.729,
2005-01,3.747,
2005-04,3.757,
2005-07,3.692,
2005-10,3.556,
2006-01,3.954,
2006-04,4.466,
2006-07,4.230,
2006-10,4.167,
2007-01,4.623,
2007-04,4.430,
2007-07,4.059,
2007-10,3.609,
2008-01,3.455,
2008-04,3.427,
2008-07,3.434,
2008-10,3.441,
2009-01,3.548,
2009-04,3.230,
2009-07,3.191,
2009-10,3.116,
2010-01,2.935,
2010-04,2.909,
2010-07,2.904,
2010-10,2.734,
2011-01,2.460,
2011-04,2.470,
2011-07,2.426,
2011-10,2.465,
2012-01,2.490,
2012-04,2.500,
2012-07,2.450,
2012-10,2.477,
2013-01,2.463,
2013-04,2.412,
2013-07,2.433,
2013-10,2.383,
2014-01,2.435,
2014-04,2.422,
2014-07,2.448,
