"",BBK01.OEAE11H,BBK01.OEAE11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:07,
2002-01,5.081,
2002-04,5.170,
2002-07,5.081,
2002-10,4.861,
2003-01,4.266,
2003-04,4.171,
2003-07,4.104,
2003-10,4.049,
2004-01,3.808,
2004-04,3.852,
2004-07,3.507,
2004-10,3.338,
2005-01,3.244,
2005-04,3.148,
2005-07,2.834,
2005-10,2.953,
2006-01,2.752,
2006-04,2.653,
2006-07,2.616,
2006-10,2.690,
2007-01,2.336,
2007-04,2.257,
2007-07,2.447,
2007-10,2.595,
2008-01,2.716,
2008-04,2.630,
2008-07,2.672,
2008-10,2.445,
2009-01,2.462,
2009-04,1.767,
2009-07,1.680,
2009-10,1.739,
2010-01,1.628,
2010-04,1.652,
2010-07,1.545,
2010-10,1.524,
2011-01,1.549,
2011-04,1.576,
2011-07,1.573,
2011-10,1.554,
2012-01,1.248,
2012-04,1.582,
2012-07,1.480,
2012-10,1.623,
2013-01,1.586,
2013-04,1.752,
2013-07,1.666,
2013-10,1.903,
2014-01,2.082,
2014-04,1.726,
2014-07,1.632,
