"",BBK01.OEAE11P,BBK01.OEAE11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:07,
2002-01,0.100,
2002-04,0.109,
2002-07,0.111,
2002-10,0.114,
2003-01,0.122,
2003-04,0.112,
2003-07,0.119,
2003-10,0.113,
2004-01,0.117,
2004-04,0.130,
2004-07,0.128,
2004-10,0.125,
2005-01,0.126,
2005-04,0.129,
2005-07,0.118,
2005-10,0.106,
2006-01,0.097,
2006-04,0.104,
2006-07,0.096,
2006-10,0.103,
2007-01,0.083,
2007-04,0.078,
2007-07,0.081,
2007-10,0.076,
2008-01,0.070,
2008-04,0.072,
2008-07,0.074,
2008-10,0.070,
2009-01,0.068,
2009-04,0.060,
2009-07,0.065,
2009-10,0.065,
2010-01,0.073,
2010-04,0.069,
2010-07,0.070,
2010-10,0.066,
2011-01,0.059,
2011-04,0.034,
2011-07,0.033,
2011-10,0.038,
2012-01,0.040,
2012-04,0.038,
2012-07,0.038,
2012-10,0.032,
2013-01,0.037,
2013-04,0.048,
2013-07,0.038,
2013-10,0.034,
2014-01,0.030,
2014-04,0.030,
2014-07,0.029,
