"",BBK01.OEAE12I,BBK01.OEAE12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:22,
2002-01,0.445,
2002-04,0.476,
2002-07,0.394,
2002-10,0.436,
2003-01,0.383,
2003-04,0.276,
2003-07,1.097,
2003-10,0.895,
2004-01,0.926,
2004-04,1.034,
2004-07,1.061,
2004-10,0.972,
2005-01,0.930,
2005-04,1.024,
2005-07,1.013,
2005-10,0.465,
2006-01,0.498,
2006-04,0.548,
2006-07,0.677,
2006-10,0.766,
2007-01,0.664,
2007-04,0.728,
2007-07,0.715,
2007-10,0.606,
2008-01,0.541,
2008-04,0.365,
2008-07,0.365,
2008-10,0.242,
2009-01,0.190,
2009-04,0.229,
2009-07,0.231,
2009-10,0.147,
2010-01,0.132,
2010-04,0.219,
2010-07,0.129,
2010-10,0.180,
2011-01,0.218,
2011-04,0.172,
2011-07,0.111,
2011-10,0.091,
2012-01,0.242,
2012-04,0.179,
2012-07,0.164,
2012-10,0.136,
2013-01,0.137,
2013-04,0.130,
2013-07,0.149,
2013-10,0.147,
2014-01,0.146,
2014-04,0.342,
2014-07,0.135,
