"",BBK01.OEAE18G,BBK01.OEAE18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:54,
2002-01,1.521,
2002-04,1.637,
2002-07,1.626,
2002-10,1.493,
2003-01,1.642,
2003-04,1.725,
2003-07,1.969,
2003-10,1.510,
2004-01,1.486,
2004-04,1.303,
2004-07,1.262,
2004-10,1.254,
2005-01,1.384,
2005-04,1.395,
2005-07,1.299,
2005-10,1.317,
2006-01,1.243,
2006-04,1.245,
2006-07,1.362,
2006-10,1.258,
2007-01,1.250,
2007-04,1.165,
2007-07,1.176,
2007-10,1.239,
2008-01,1.325,
2008-04,1.144,
2008-07,1.318,
2008-10,1.896,
2009-01,1.197,
2009-04,1.028,
2009-07,1.055,
2009-10,1.085,
2010-01,1.211,
2010-04,1.033,
2010-07,0.998,
2010-10,0.995,
2011-01,0.853,
2011-04,0.664,
2011-07,0.723,
2011-10,0.845,
2012-01,0.723,
2012-04,0.713,
2012-07,0.928,
2012-10,0.773,
2013-01,0.807,
2013-04,0.860,
2013-07,0.557,
2013-10,0.544,
2014-01,0.589,
2014-04,0.637,
2014-07,0.596,
