"",BBK01.OEAF08Q,BBK01.OEAF08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:24,
2002-01,0.644,
2002-04,0.659,
2002-07,0.651,
2002-10,0.630,
2003-01,0.631,
2003-04,0.651,
2003-07,0.618,
2003-10,0.644,
2004-01,0.619,
2004-04,0.675,
2004-07,0.686,
2004-10,0.697,
2005-01,0.690,
2005-04,0.687,
2005-07,0.801,
2005-10,0.806,
2006-01,0.808,
2006-04,0.819,
2006-07,0.868,
2006-10,0.787,
2007-01,0.789,
2007-04,0.765,
2007-07,0.755,
2007-10,0.751,
2008-01,0.734,
2008-04,0.746,
2008-07,0.706,
2008-10,0.706,
2009-01,0.749,
2009-04,0.722,
2009-07,0.738,
2009-10,0.748,
2010-01,0.760,
2010-04,0.728,
2010-07,0.665,
2010-10,0.847,
2011-01,0.871,
2011-04,0.830,
2011-07,0.850,
2011-10,0.830,
2012-01,0.813,
2012-04,0.808,
2012-07,0.839,
2012-10,0.821,
2013-01,0.851,
2013-04,0.922,
2013-07,0.971,
2013-10,1.011,
2014-01,0.979,
2014-04,0.993,
2014-07,0.978,
