"",BBK01.OEAF08V,BBK01.OEAF08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:32,
2002-01,0.320,
2002-04,0.320,
2002-07,0.301,
2002-10,0.304,
2003-01,0.303,
2003-04,0.307,
2003-07,0.311,
2003-10,0.313,
2004-01,0.298,
2004-04,0.296,
2004-07,0.346,
2004-10,0.342,
2005-01,0.345,
2005-04,0.336,
2005-07,0.334,
2005-10,0.331,
2006-01,0.309,
2006-04,0.303,
2006-07,0.303,
2006-10,0.345,
2007-01,0.341,
2007-04,0.343,
2007-07,0.335,
2007-10,0.339,
2008-01,0.318,
2008-04,0.268,
2008-07,0.259,
2008-10,0.261,
2009-01,0.252,
2009-04,0.246,
2009-07,0.241,
2009-10,0.241,
2010-01,0.232,
2010-04,0.223,
2010-07,0.224,
2010-10,0.173,
2011-01,0.169,
2011-04,0.219,
2011-07,0.202,
2011-10,0.203,
2012-01,0.198,
2012-04,0.197,
2012-07,0.192,
2012-10,0.186,
2013-01,0.202,
2013-04,0.207,
2013-07,0.201,
2013-10,0.200,
2014-01,0.211,
2014-04,0.201,
2014-07,0.205,
