"",BBK01.OEAF16H,BBK01.OEAF16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:58,
2002-01,0.171,
2002-04,0.179,
2002-07,0.193,
2002-10,0.187,
2003-01,0.180,
2003-04,0.171,
2003-07,0.167,
2003-10,0.171,
2004-01,0.173,
2004-04,0.173,
2004-07,0.163,
2004-10,0.170,
2005-01,0.165,
2005-04,0.164,
2005-07,0.154,
2005-10,0.152,
2006-01,0.147,
2006-04,0.153,
2006-07,0.155,
2006-10,0.159,
2007-01,0.172,
2007-04,0.159,
2007-07,0.216,
2007-10,0.194,
2008-01,0.217,
2008-04,0.145,
2008-07,0.137,
2008-10,0.153,
2009-01,0.164,
2009-04,0.183,
2009-07,0.184,
2009-10,0.199,
2010-01,0.171,
2010-04,0.145,
2010-07,0.148,
2010-10,0.176,
2011-01,0.179,
2011-04,0.157,
2011-07,0.166,
2011-10,0.196,
2012-01,0.195,
2012-04,0.192,
2012-07,0.181,
2012-10,0.446,
2013-01,0.169,
2013-04,0.174,
2013-07,0.160,
2013-10,0.176,
2014-01,0.155,
2014-04,0.148,
2014-07,0.132,
