"",BBK01.OEAF26P,BBK01.OEAF26P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:16,
2002-01,0.339,
2002-04,0.337,
2002-07,0.331,
2002-10,0.319,
2003-01,0.324,
2003-04,0.325,
2003-07,0.313,
2003-10,0.304,
2004-01,0.295,
2004-04,0.296,
2004-07,0.283,
2004-10,0.271,
2005-01,0.263,
2005-04,0.265,
2005-07,0.260,
2005-10,0.254,
2006-01,0.253,
2006-04,0.248,
2006-07,0.249,
2006-10,0.250,
2007-01,0.247,
2007-04,0.242,
2007-07,0.248,
2007-10,0.241,
2008-01,0.242,
2008-04,0.242,
2008-07,0.235,
2008-10,0.228,
2009-01,0.228,
2009-04,0.225,
2009-07,0.224,
2009-10,0.219,
2010-01,0.213,
2010-04,0.242,
2010-07,0.235,
2010-10,0.231,
2011-01,0.226,
2011-04,0.223,
2011-07,0.225,
2011-10,0.213,
2012-01,0.216,
2012-04,0.216,
2012-07,0.220,
2012-10,0.215,
2013-01,0.225,
2013-04,0.227,
2013-07,0.236,
2013-10,0.232,
2014-01,0.233,
2014-04,0.232,
2014-07,0.230,
