"",BBK01.OEAF39M,BBK01.OEAF39M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:38,
2002-01,0.163,
2002-04,0.159,
2002-07,0.164,
2002-10,0.166,
2003-01,0.173,
2003-04,0.169,
2003-07,0.181,
2003-10,0.197,
2004-01,0.185,
2004-04,0.168,
2004-07,0.166,
2004-10,0.156,
2005-01,0.154,
2005-04,0.159,
2005-07,0.165,
2005-10,0.161,
2006-01,0.162,
2006-04,0.166,
2006-07,0.161,
2006-10,0.158,
2007-01,0.129,
2007-04,0.125,
2007-07,0.127,
2007-10,0.120,
2008-01,0.116,
2008-04,0.125,
2008-07,0.122,
2008-10,0.122,
2009-01,0.119,
2009-04,0.115,
2009-07,0.125,
2009-10,0.126,
2010-01,0.131,
2010-04,0.135,
2010-07,0.140,
2010-10,0.135,
2011-01,0.137,
2011-04,0.135,
2011-07,0.135,
2011-10,0.138,
2012-01,0.138,
2012-04,0.142,
2012-07,0.145,
2012-10,0.146,
2013-01,0.145,
2013-04,0.147,
2013-07,0.144,
2013-10,0.135,
2014-01,0.133,
2014-04,0.129,
2014-07,0.129,
