"",BBK01.OEAH05S,BBK01.OEAH05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:09,
2002-01,4.517,
2002-04,4.562,
2002-07,4.580,
2002-10,4.860,
2003-01,4.989,
2003-04,5.039,
2003-07,5.053,
2003-10,5.469,
2004-01,5.535,
2004-04,5.579,
2004-07,5.597,
2004-10,4.439,
2005-01,4.710,
2005-04,4.747,
2005-07,4.793,
2005-10,5.017,
2006-01,5.111,
2006-04,5.213,
2006-07,5.156,
2006-10,5.533,
2007-01,5.499,
2007-04,5.517,
2007-07,5.635,
2007-10,6.019,
2008-01,6.003,
2008-04,5.930,
2008-07,5.909,
2008-10,5.937,
2009-01,6.003,
2009-04,4.726,
2009-07,4.796,
2009-10,5.068,
2010-01,5.133,
2010-04,5.134,
2010-07,5.103,
2010-10,5.120,
2011-01,5.100,
2011-04,5.094,
2011-07,5.087,
2011-10,5.268,
2012-01,5.382,
2012-04,5.416,
2012-07,5.469,
2012-10,5.368,
2013-01,5.450,
2013-04,5.681,
2013-07,5.770,
2013-10,5.902,
2014-01,6.021,
2014-04,6.100,
2014-07,6.179,
