"",BBK01.OEAH08O,BBK01.OEAH08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:50,
2002-01,4.692,
2002-04,4.779,
2002-07,4.899,
2002-10,5.377,
2003-01,5.179,
2003-04,5.062,
2003-07,4.999,
2003-10,5.029,
2004-01,5.006,
2004-04,5.036,
2004-07,5.174,
2004-10,5.349,
2005-01,5.371,
2005-04,5.342,
2005-07,5.260,
2005-10,5.293,
2006-01,5.403,
2006-04,5.580,
2006-07,5.775,
2006-10,6.051,
2007-01,6.577,
2007-04,7.086,
2007-07,7.639,
2007-10,8.192,
2008-01,8.531,
2008-04,8.839,
2008-07,9.253,
2008-10,9.263,
2009-01,9.252,
2009-04,8.197,
2009-07,7.582,
2009-10,7.333,
2010-01,7.152,
2010-04,7.005,
2010-07,6.909,
2010-10,7.098,
2011-01,7.252,
2011-04,7.628,
2011-07,7.825,
2011-10,7.981,
2012-01,7.962,
2012-04,7.867,
2012-07,7.596,
2012-10,7.548,
2013-01,6.985,
2013-04,6.710,
2013-07,6.445,
2013-10,6.414,
2014-01,6.059,
2014-04,5.884,
2014-07,5.687,
