"",BBK01.OEAH10P,BBK01.OEAH10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:28,
2002-01,1.427,
2002-04,1.486,
2002-07,1.455,
2002-10,1.273,
2003-01,1.277,
2003-04,1.264,
2003-07,1.240,
2003-10,1.385,
2004-01,1.355,
2004-04,1.332,
2004-07,1.346,
2004-10,1.347,
2005-01,1.324,
2005-04,1.314,
2005-07,1.294,
2005-10,1.235,
2006-01,1.188,
2006-04,1.152,
2006-07,1.114,
2006-10,1.043,
2007-01,1.016,
2007-04,1.001,
2007-07,0.978,
2007-10,0.809,
2008-01,0.797,
2008-04,0.779,
2008-07,0.754,
2008-10,0.730,
2009-01,0.727,
2009-04,0.712,
2009-07,0.698,
2009-10,0.659,
2010-01,0.704,
2010-04,0.718,
2010-07,0.678,
2010-10,0.643,
2011-01,0.645,
2011-04,0.662,
2011-07,0.656,
2011-10,0.620,
2012-01,0.607,
2012-04,0.590,
2012-07,0.581,
2012-10,0.558,
2013-01,0.520,
2013-04,0.477,
2013-07,0.466,
2013-10,0.472,
2014-01,0.459,
2014-04,0.431,
2014-07,0.418,
