"",BBK01.OEAH27J,BBK01.OEAH27J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:05,
2002-01,0.917,
2002-04,0.887,
2002-07,0.884,
2002-10,0.869,
2003-01,0.799,
2003-04,0.747,
2003-07,0.682,
2003-10,0.630,
2004-01,0.580,
2004-04,0.545,
2004-07,0.579,
2004-10,0.513,
2005-01,0.493,
2005-04,0.481,
2005-07,0.470,
2005-10,0.494,
2006-01,0.491,
2006-04,0.536,
2006-07,0.592,
2006-10,0.695,
2007-01,0.840,
2007-04,0.994,
2007-07,1.091,
2007-10,1.185,
2008-01,1.201,
2008-04,1.177,
2008-07,1.177,
2008-10,1.303,
2009-01,1.223,
2009-04,1.176,
2009-07,1.158,
2009-10,0.956,
2010-01,0.832,
2010-04,0.806,
2010-07,0.739,
2010-10,0.724,
2011-01,0.748,
2011-04,0.753,
2011-07,0.741,
2011-10,0.715,
2012-01,0.678,
2012-04,0.643,
2012-07,0.572,
2012-10,0.471,
2013-01,0.374,
2013-04,0.327,
2013-07,0.315,
2013-10,0.312,
2014-01,0.322,
2014-04,0.354,
2014-07,0.388,
