"",BBK01.OEAH39H,BBK01.OEAH39H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:57,
2002-01,0.699,
2002-04,0.692,
2002-07,0.693,
2002-10,0.685,
2003-01,0.714,
2003-04,0.737,
2003-07,0.839,
2003-10,0.903,
2004-01,1.010,
2004-04,1.026,
2004-07,1.097,
2004-10,1.084,
2005-01,1.107,
2005-04,1.193,
2005-07,1.216,
2005-10,1.076,
2006-01,1.136,
2006-04,1.067,
2006-07,1.034,
2006-10,1.033,
2007-01,1.137,
2007-04,1.055,
2007-07,0.909,
2007-10,0.880,
2008-01,0.856,
2008-04,0.833,
2008-07,0.830,
2008-10,0.861,
2009-01,0.934,
2009-04,0.936,
2009-07,1.017,
2009-10,1.088,
2010-01,1.194,
2010-04,1.279,
2010-07,1.298,
2010-10,1.230,
2011-01,1.265,
2011-04,1.254,
2011-07,1.252,
2011-10,1.211,
2012-01,1.273,
2012-04,1.309,
2012-07,1.371,
2012-10,1.421,
2013-01,1.475,
2013-04,1.505,
2013-07,1.533,
2013-10,1.561,
2014-01,1.586,
2014-04,1.620,
2014-07,1.639,
