"",BBK01.OEAH83G,BBK01.OEAH83G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:36,
2002-01,0.061,
2002-04,0.071,
2002-07,0.074,
2002-10,0.104,
2003-01,0.093,
2003-04,0.101,
2003-07,0.099,
2003-10,0.109,
2004-01,0.094,
2004-04,0.084,
2004-07,0.098,
2004-10,0.089,
2005-01,0.114,
2005-04,0.113,
2005-07,0.110,
2005-10,0.099,
2006-01,0.087,
2006-04,0.084,
2006-07,0.085,
2006-10,0.093,
2007-01,0.110,
2007-04,0.113,
2007-07,0.112,
2007-10,0.110,
2008-01,0.104,
2008-04,0.100,
2008-07,0.097,
2008-10,0.079,
2009-01,0.162,
2009-04,0.187,
2009-07,0.231,
2009-10,0.253,
2010-01,0.229,
2010-04,0.198,
2010-07,0.174,
2010-10,0.152,
2011-01,0.130,
2011-04,0.134,
2011-07,0.120,
2011-10,0.116,
2012-01,0.133,
2012-04,0.141,
2012-07,0.161,
2012-10,0.183,
2013-01,0.218,
2013-04,0.213,
2013-07,0.225,
2013-10,0.233,
2014-01,0.214,
2014-04,0.192,
2014-07,0.142,
