"",BBK01.OEAH87L,BBK01.OEAH87L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:33,
2002-01,114.109,
2002-04,98.342,
2002-07,93.317,
2002-10,80.019,
2003-01,98.412,
2003-04,90.153,
2003-07,101.023,
2003-10,95.099,
2004-01,88.420,
2004-04,77.337,
2004-07,96.084,
2004-10,114.415,
2005-01,103.012,
2005-04,101.469,
2005-07,108.880,
2005-10,97.648,
2006-01,89.439,
2006-04,87.809,
2006-07,104.167,
2006-10,96.989,
2007-01,93.605,
2007-04,96.696,
2007-07,86.737,
2007-10,90.818,
2008-01,98.231,
2008-04,78.374,
2008-07,83.068,
2008-10,62.275,
2009-01,45.441,
2009-04,36.253,
2009-07,37.674,
2009-10,37.189,
2010-01,33.799,
2010-04,35.494,
2010-07,40.553,
2010-10,37.073,
2011-01,34.525,
2011-04,34.826,
2011-07,35.570,
2011-10,33.734,
2012-01,34.331,
2012-04,32.776,
2012-07,34.400,
2012-10,36.327,
2013-01,40.420,
2013-04,46.833,
2013-07,42.677,
2013-10,56.279,
2014-01,45.232,
2014-04,39.838,
2014-07,49.462,
