"",BBK01.OEAH92U,BBK01.OEAH92U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:44,
2002-01,0.017,
2002-04,0.017,
2002-07,0.032,
2002-10,0.032,
2003-01,0.037,
2003-04,0.037,
2003-07,0.037,
2003-10,0.037,
2004-01,0.037,
2004-04,0.037,
2004-07,0.037,
2004-10,0.037,
2005-01,0.037,
2005-04,0.037,
2005-07,0.062,
2005-10,0.062,
2006-01,0.056,
2006-04,0.056,
2006-07,0.056,
2006-10,0.050,
2007-01,0.051,
2007-04,0.050,
2007-07,0.050,
2007-10,0.050,
2008-01,0.050,
2008-04,0.050,
2008-07,0.050,
2008-10,0.051,
2009-01,0.051,
2009-04,0.040,
2009-07,0.039,
2009-10,0.040,
2010-01,0.040,
2010-04,0.040,
2010-07,0.040,
2010-10,0.040,
2011-01,0.040,
2011-04,0.041,
2011-07,0.031,
2011-10,0.031,
2012-01,0.031,
2012-04,0.031,
2012-07,0.026,
2012-10,0.026,
2013-01,0.020,
2013-04,0.020,
2013-07,0.015,
2013-10,0.015,
2014-01,0.015,
2014-04,0.015,
2014-07,0.010,
