"",BBK01.OEAI08S,BBK01.OEAI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:55,
2002-01,8.068,
2002-04,7.875,
2002-07,7.908,
2002-10,8.275,
2003-01,8.448,
2003-04,8.449,
2003-07,8.553,
2003-10,8.743,
2004-01,8.803,
2004-04,8.730,
2004-07,8.824,
2004-10,9.008,
2005-01,10.088,
2005-04,10.096,
2005-07,10.112,
2005-10,10.281,
2006-01,10.315,
2006-04,10.140,
2006-07,9.961,
2006-10,9.938,
2007-01,9.735,
2007-04,9.564,
2007-07,9.380,
2007-10,9.471,
2008-01,9.358,
2008-04,9.238,
2008-07,9.098,
2008-10,9.208,
2009-01,9.344,
2009-04,9.468,
2009-07,9.870,
2009-10,10.485,
2010-01,10.912,
2010-04,11.053,
2010-07,11.245,
2010-10,11.544,
2011-01,11.584,
2011-04,11.507,
2011-07,11.550,
2011-10,11.796,
2012-01,11.921,
2012-04,11.870,
2012-07,11.937,
2012-10,12.224,
2013-01,12.338,
2013-04,12.366,
2013-07,12.480,
2013-10,12.697,
2014-01,12.752,
2014-04,12.821,
2014-07,12.921,
