"",BBK01.OEAJ06S,BBK01.OEAJ06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:34,
2002-01,0.266,
2002-04,0.272,
2002-07,0.262,
2002-10,0.255,
2003-01,0.258,
2003-04,0.244,
2003-07,0.247,
2003-10,0.257,
2004-01,0.254,
2004-04,0.261,
2004-07,0.272,
2004-10,0.291,
2005-01,0.293,
2005-04,0.292,
2005-07,0.317,
2005-10,0.319,
2006-01,0.332,
2006-04,0.332,
2006-07,0.325,
2006-10,0.338,
2007-01,0.354,
2007-04,0.368,
2007-07,0.363,
2007-10,0.360,
2008-01,0.343,
2008-04,0.330,
2008-07,0.318,
2008-10,0.293,
2009-01,0.297,
2009-04,0.280,
2009-07,0.278,
2009-10,0.286,
2010-01,0.282,
2010-04,0.274,
2010-07,0.233,
2010-10,0.232,
2011-01,0.218,
2011-04,0.225,
2011-07,0.221,
2011-10,0.223,
2012-01,0.210,
2012-04,0.204,
2012-07,0.196,
2012-10,0.146,
2013-01,0.136,
2013-04,0.143,
2013-07,0.145,
2013-10,0.154,
2014-01,0.165,
2014-04,0.187,
2014-07,0.196,
