"",BBK01.OEAK06V,BBK01.OEAK06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:41,
2002-01,0.112,
2002-04,0.114,
2002-07,0.113,
2002-10,0.115,
2003-01,0.114,
2003-04,0.103,
2003-07,0.098,
2003-10,0.096,
2004-01,0.100,
2004-04,0.098,
2004-07,0.097,
2004-10,0.093,
2005-01,0.091,
2005-04,0.089,
2005-07,0.086,
2005-10,0.084,
2006-01,0.085,
2006-04,0.088,
2006-07,0.090,
2006-10,0.090,
2007-01,0.095,
2007-04,0.099,
2007-07,0.108,
2007-10,0.113,
2008-01,0.121,
2008-04,0.129,
2008-07,0.140,
2008-10,0.149,
2009-01,0.139,
2009-04,0.120,
2009-07,0.106,
2009-10,0.098,
2010-01,0.095,
2010-04,0.093,
2010-07,0.091,
2010-10,0.091,
2011-01,0.093,
2011-04,0.105,
2011-07,0.107,
2011-10,0.104,
2012-01,0.102,
2012-04,0.100,
2012-07,0.095,
2012-10,0.084,
2013-01,0.079,
2013-04,0.074,
2013-07,0.071,
2013-10,0.070,
2014-01,0.067,
2014-04,0.055,
2014-07,0.054,
