"",BBK01.OEAM01J,BBK01.OEAM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:10,
2002-01,0.460,
2002-04,0.407,
2002-07,0.423,
2002-10,0.406,
2003-01,0.469,
2003-04,0.615,
2003-07,0.425,
2003-10,0.413,
2004-01,0.551,
2004-04,0.743,
2004-07,0.916,
2004-10,0.623,
2005-01,0.863,
2005-04,1.017,
2005-07,1.086,
2005-10,1.282,
2006-01,1.056,
2006-04,1.488,
2006-07,1.276,
2006-10,1.220,
2007-01,0.925,
2007-04,1.012,
2007-07,1.541,
2007-10,0.959,
2008-01,0.946,
2008-04,1.547,
2008-07,1.949,
2008-10,1.520,
2009-01,1.184,
2009-04,1.303,
2009-07,0.899,
2009-10,0.965,
2010-01,1.176,
2010-04,1.855,
2010-07,1.410,
2010-10,1.330,
2011-01,1.529,
2011-04,1.861,
2011-07,1.318,
2011-10,1.441,
2012-01,1.703,
2012-04,2.054,
2012-07,1.722,
2012-10,1.811,
2013-01,1.746,
2013-04,1.796,
2013-07,1.734,
2013-10,1.536,
2014-01,1.810,
2014-04,1.715,
2014-07,1.733,
