"",BBK01.OEAM04R,BBK01.OEAM04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:32,
2002-01,0.414,
2002-04,0.424,
2002-07,0.373,
2002-10,0.348,
2003-01,0.286,
2003-04,0.261,
2003-07,0.277,
2003-10,0.270,
2004-01,0.285,
2004-04,0.276,
2004-07,0.278,
2004-10,0.283,
2005-01,0.266,
2005-04,0.225,
2005-07,0.232,
2005-10,0.232,
2006-01,0.256,
2006-04,0.267,
2006-07,0.293,
2006-10,0.301,
2007-01,0.301,
2007-04,0.360,
2007-07,0.375,
2007-10,0.324,
2008-01,0.423,
2008-04,0.444,
2008-07,0.408,
2008-10,0.385,
2009-01,0.252,
2009-04,0.198,
2009-07,0.114,
2009-10,0.092,
2010-01,0.096,
2010-04,0.087,
2010-07,0.088,
2010-10,0.084,
2011-01,0.167,
2011-04,0.175,
2011-07,0.189,
2011-10,0.328,
2012-01,0.458,
2012-04,0.420,
2012-07,0.470,
2012-10,0.509,
2013-01,0.460,
2013-04,0.537,
2013-07,0.552,
2013-10,0.443,
2014-01,0.497,
2014-04,0.484,
2014-07,0.451,
