"",BBK01.OEAM10N,BBK01.OEAM10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:10,
2002-01,4.222,
2002-04,4.182,
2002-07,4.141,
2002-10,4.163,
2003-01,4.041,
2003-04,4.015,
2003-07,3.965,
2003-10,3.967,
2004-01,3.857,
2004-04,3.827,
2004-07,3.764,
2004-10,2.272,
2005-01,3.687,
2005-04,3.667,
2005-07,3.634,
2005-10,3.641,
2006-01,3.556,
2006-04,3.483,
2006-07,3.420,
2006-10,3.426,
2007-01,3.360,
2007-04,3.330,
2007-07,3.247,
2007-10,3.259,
2008-01,3.170,
2008-04,3.129,
2008-07,3.094,
2008-10,3.093,
2009-01,3.210,
2009-04,3.179,
2009-07,3.158,
2009-10,3.118,
2010-01,3.031,
2010-04,3.138,
2010-07,3.080,
2010-10,3.032,
2011-01,2.982,
2011-04,2.954,
2011-07,2.909,
2011-10,2.875,
2012-01,2.826,
2012-04,2.801,
2012-07,2.762,
2012-10,2.701,
2013-01,2.651,
2013-04,2.622,
2013-07,2.572,
2013-10,2.539,
2014-01,2.483,
2014-04,2.458,
2014-07,2.387,
