"",BBK01.OEAN06O,BBK01.OEAN06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:06,
2002-01,5.263,
2002-04,4.907,
2002-07,4.819,
2002-10,4.805,
2003-01,4.658,
2003-04,4.459,
2003-07,4.341,
2003-10,4.361,
2004-01,4.421,
2004-04,4.210,
2004-07,4.132,
2004-10,4.204,
2005-01,4.278,
2005-04,4.291,
2005-07,3.863,
2005-10,4.190,
2006-01,4.482,
2006-04,4.628,
2006-07,4.697,
2006-10,4.811,
2007-01,4.847,
2007-04,4.610,
2007-07,4.613,
2007-10,4.701,
2008-01,4.442,
2008-04,4.056,
2008-07,3.590,
2008-10,3.773,
2009-01,4.027,
2009-04,4.635,
2009-07,5.288,
2009-10,5.826,
2010-01,6.053,
2010-04,5.763,
2010-07,5.445,
2010-10,5.259,
2011-01,5.084,
2011-04,4.820,
2011-07,4.658,
2011-10,4.324,
2012-01,4.270,
2012-04,4.274,
2012-07,4.270,
2012-10,4.264,
2013-01,4.377,
2013-04,4.199,
2013-07,4.035,
2013-10,4.027,
2014-01,3.935,
2014-04,3.887,
2014-07,3.990,
