"",BBK01.OEBB06O,BBK01.OEBB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:49,
2002-01,1.000,
2002-04,0.531,
2002-07,0.635,
2002-10,0.916,
2003-01,0.640,
2003-04,0.079,
2003-07,-0.124,
2003-10,-0.394,
2004-01,-0.204,
2004-04,0.082,
2004-07,0.012,
2004-10,-0.084,
2005-01,2.690,
2005-04,2.430,
2005-07,2.444,
2005-10,2.410,
2006-01,2.364,
2006-04,2.226,
2006-07,2.624,
2006-10,2.665,
2007-01,2.663,
2007-04,2.527,
2007-07,2.480,
2007-10,2.579,
2008-01,2.665,
2008-04,2.554,
2008-07,2.754,
2008-10,2.494,
2009-01,2.420,
2009-04,2.144,
2009-07,2.261,
2009-10,2.167,
2010-01,2.514,
2010-04,2.573,
2010-07,2.695,
2010-10,2.765,
2011-01,2.746,
2011-04,3.004,
2011-07,2.800,
2011-10,2.778,
2012-01,2.904,
2012-04,2.943,
2012-07,2.796,
2012-10,2.681,
2013-01,2.812,
2013-04,2.856,
2013-07,2.676,
2013-10,2.558,
2014-01,2.662,
2014-04,2.718,
2014-07,2.721,
